_MEMBER_DEGs,_MEMBER_DMRs,_LogP_DEGs,_LogP_DMRs,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,0,-7.9,0,M41720,M10,1,0,Cell Type Signatures,7,FAN OVARY CL18 B LYMPHOCYTE,,-7.9,4.1,7.5,30337,422,400,23,5.8,1.2,241|752|951|963|2124|2207|3936|4046|4050|5341|5552|5997|6402|7852|8140|8477|9308|9473|9595|55824|83706|221692|653361,ALOX5AP|FMNL1|CD37|CD53|EVI2B|FCER1G|LCP1|LSP1|LTB|PLEK|SRGN|RGS2|SELL|CXCR4|SLC7A5|GPR65|CD83|THEMIS2|CYTIP|PAG1|FERMT3|PHACTR1|NCF1,-6.1,0
1,0,-7.8,0,M39289,M10,1,0,Cell Type Signatures,7,DURANTE ADULT OLFACTORY NEUROEPITHELIUM B CELLS,,-7.8,17,11,30337,35,400,8,2,0.7,951|963|969|2124|4050|7852|9308|117289,CD37|CD53|CD69|EVI2B|LTB|CXCR4|CD83|TAGAP,-6,0
1,1,-7.6,-3,M39105,M11,2,0,Cell Type Signatures,7,AIZARANI LIVER C1 NK NKT CELLS 1,,-7.6,6.8,8.4,30337,157,400,14,3.5,0.92,241|963|2316|3689|3936|5788|5880|6503|7133|7852|8530|9595|64333|170954,ALOX5AP|CD53|FLNA|ITGB2|LCP1|PTPRC|RAC2|SLA|TNFRSF1B|CXCR4|CST7|CYTIP|ARHGAP9|PPP1R18,-5.8,0
1,0,-7.5,0,M41689,M10,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG BASOPHIL MAST 1 CELL,,-7.5,4.9,7.6,30337,276,400,18,4.5,1,241|399|969|1439|2353|2354|4354|5023|5552|5743|5880|5997|7462|8477|8809|9173|53346|64092,ALOX5AP|RHOH|CD69|CSF2RB|FOS|FOSB|MPP1|P2RX1|SRGN|PTGS2|RAC2|RGS2|LAT2|GPR65|IL18R1|IL1RL1|TM6SF1|SAMSN1,-5.7,0
1,0,-7.4,0,M40146,M10,1,0,Cell Type Signatures,7,DESCARTES FETAL ADRENAL MEGAKARYOCYTES,,-7.4,7.9,8.6,30337,115,400,12,3,0.85,5023|5341|5473|10335|23569|64407|80739|83706|146225|199675|100506159|101929559,P2RX1|PLEK|PPBP|IRAG1|PADI4|RGS18|MPIG6B|FERMT3|CMTM2|MCEMP1|LINC02470|PIRAT1,-5.6,0
1,1,-3.9,-7.1,M40158,M11,2,0,Cell Type Signatures,7,DESCARTES FETAL CEREBELLUM VASCULAR ENDOTHELIAL CELLS,,-7.1,3.7,6.9,30337,632,296,23,7.8,1.6,218|864|1969|2022|2034|3090|3339|5998|8140|8519|8553|10044|11156|26153|26468|53637|54345|79026|79652|92922|134265|219699|348645,ALDH3A1|RUNX3|EPHA2|ENG|EPAS1|HIC1|HSPG2|RGS3|SLC7A5|IFITM1|BHLHE40|SH2D3C|PTP4A3|KIF26A|LHX6|S1PR5|SOX18|AHNAK|TMEM204|CCDC102A|AFAP1L1|UNC5B|MIR3667HG,-5.3,0
1,0,-6.7,0,M40077,M10,1,0,Cell Type Signatures,7,DESCARTES MAIN FETAL LYMPHOID CELLS,,-6.7,6.3,7.7,30337,157,400,13,3.2,0.89,752|951|969|7852|8698|8807|9437|9595|64333|115350|117289|266747|654817,FMNL1|CD37|CD69|CXCR4|S1PR4|IL18RAP|NCR1|CYTIP|ARHGAP9|FCRL1|TAGAP|RGL4|NCF1C,-5,0
1,1,-6.6,-3.6,M39128,M11,2,0,Cell Type Signatures,7,AIZARANI LIVER C29 MVECS 2,,-6.6,4.4,6.9,30337,313,400,18,4.5,1,1839|1901|2012|2321|2354|3678|6781|7056|7099|7378|9021|9173|9510|10581|22918|23135|57458|85450,HBEGF|S1PR1|EMP1|FLT1|FOSB|ITGA5|STC1|THBD|TLR4|UPP1|SOCS3|IL1RL1|ADAMTS1|IFITM2|CD93|KDM6B|TMCC3|ITPRIP,-4.9,0
1,0,-6.6,0,M39133,M10,1,0,Cell Type Signatures,7,AIZARANI LIVER C34 MHC II POS B CELLS,,-6.6,6.8,7.8,30337,134,400,12,3,0.85,951|1960|2124|4050|6402|7852|9308|79930|80183|81793|115350|653361,CD37|EGR3|EVI2B|LTB|SELL|CXCR4|CD83|DOK3|RUBCNL|TLR10|FCRL1|NCF1,-4.9,0
1,0,-6.6,0,M39107,M10,1,0,Cell Type Signatures,7,AIZARANI LIVER C3 NK NKT CELLS 2,,-6.6,6.1,7.5,30337,162,400,13,3.2,0.89,399|963|969|3936|4050|5788|5880|6503|7852|8807|9595|55824|117289,RHOH|CD53|CD69|LCP1|LTB|PTPRC|RAC2|SLA|CXCR4|IL18RAP|CYTIP|PAG1|TAGAP,-4.9,0
