"","ID","two_clusters"
"ENSG00000279391","ENSG00000279391",1
"ENSG00000279366","ENSG00000279366",1
"ENSG00000279349","ENSG00000279349",1
"ENSG00000279320","ENSG00000279320",1
"ENSG00000279319","ENSG00000279319",1
"ENSG00000279311","ENSG00000279311",1
"ENSG00000279276","ENSG00000279276",1
"ENSG00000279266","ENSG00000279266",1
"ENSG00000279265","ENSG00000279265",1
"ENSG00000279227","ENSG00000279227",1
"ENSG00000279214","ENSG00000279214",1
"ENSG00000279166","ENSG00000279166",1
"ENSG00000279164","ENSG00000279164",1
"ENSG00000278869","ENSG00000278869",1
"ENSG00000278829","ENSG00000278829",1
"ENSG00000278791","ENSG00000278791",1
"ENSG00000278745","ENSG00000278745",1
"ENSG00000278607","ENSG00000278607",1
"ENSG00000278484","ENSG00000278484",1
"ENSG00000278475","ENSG00000278475",1
"ENSG00000278472","ENSG00000278472",1
"ENSG00000278412","ENSG00000278412",1
"ENSG00000278275","ENSG00000278275",1
"ENSG00000278231","ENSG00000278231",1
"ENSG00000278215","ENSG00000278215",1
"ENSG00000278195","ENSG00000278195",1
"ENSG00000278057","ENSG00000278057",1
"ENSG00000277913","ENSG00000277913",1
"ENSG00000277911","ENSG00000277911",1
"ENSG00000277883","ENSG00000277883",1
"ENSG00000277866","ENSG00000277866",1
"ENSG00000277632","ENSG00000277632",1
"ENSG00000277493","ENSG00000277493",1
"ENSG00000277452","ENSG00000277452",1
"ENSG00000277349","ENSG00000277349",1
"ENSG00000277246","ENSG00000277246",1
"ENSG00000277130","ENSG00000277130",1
"ENSG00000277103","ENSG00000277103",1
"ENSG00000277089","ENSG00000277089",1
"ENSG00000277066","ENSG00000277066",1
"ENSG00000277009","ENSG00000277009",1
"ENSG00000277008","ENSG00000277008",1
"ENSG00000277007","ENSG00000277007",1
"ENSG00000276980","ENSG00000276980",1
"ENSG00000276961","ENSG00000276961",1
"ENSG00000276900","ENSG00000276900",1
"ENSG00000276742","ENSG00000276742",1
"ENSG00000276649","ENSG00000276649",1
"ENSG00000276593","ENSG00000276593",1
"ENSG00000276578","ENSG00000276578",1
"ENSG00000276486","ENSG00000276486",1
"ENSG00000276471","ENSG00000276471",1
"ENSG00000276445","ENSG00000276445",1
"ENSG00000276085","ENSG00000276085",1
"ENSG00000276070","ENSG00000276070",1
"ENSG00000276058","ENSG00000276058",1
"ENSG00000275823","ENSG00000275823",1
"ENSG00000275562","ENSG00000275562",1
"ENSG00000275339","ENSG00000275339",1
"ENSG00000275302","ENSG00000275302",1
"ENSG00000275210","ENSG00000275210",1
"ENSG00000275146","ENSG00000275146",1
"ENSG00000275011","ENSG00000275011",1
"ENSG00000274987","ENSG00000274987",1
"ENSG00000274963","ENSG00000274963",1
"ENSG00000274962","ENSG00000274962",1
"ENSG00000274943","ENSG00000274943",1
"ENSG00000274878","ENSG00000274878",1
"ENSG00000274845","ENSG00000274845",1
"ENSG00000274767","ENSG00000274767",1
"ENSG00000274549","ENSG00000274549",1
"ENSG00000274536","ENSG00000274536",1
"ENSG00000274503","ENSG00000274503",1
"ENSG00000274256","ENSG00000274256",1
"ENSG00000274252","ENSG00000274252",1
"ENSG00000274235","ENSG00000274235",1
"ENSG00000274213","ENSG00000274213",1
"ENSG00000274197","ENSG00000274197",1
"ENSG00000274156","ENSG00000274156",1
"ENSG00000274093","ENSG00000274093",1
"ENSG00000274008","ENSG00000274008",1
"ENSG00000273837","ENSG00000273837",1
"ENSG00000273812","ENSG00000273812",1
"ENSG00000273797","ENSG00000273797",1
"ENSG00000273691","ENSG00000273691",1
