"","Mast.Cells","Inflammatory.Macrophages","HOPX.high.Squamous.Cells","Basal.Cells","AZGP1.SCGB3A1.LTF.high.Goblet.Cells","Interferon.Responsive.Secretory.Cells","ITGAX.high.Macrophages","Interferon.Responsive.Cytotoxic.CD8.T.Cells","VEGFA.high.Squamous.Cells","Interferon.Responsive.Ciliated.Cells"
"ENSG00000173253",-0.418181818181818,-0.555163388748203,0.27524094128159,-0.762770071396474,0.842658715064237,0.396356381393038,-0.739734947266784,-0.697277051246695,-0.753235445504018,0.509090909090909
"ENSG00000173262",0.747154558028256,0.717893341870752,-0.363227028886595,0.774065941759344,-0.829676042162046,-0.447488584474886,0.748416462650013,0.66668252137413,0.774065941759344,-0.551254277569628
"ENSG00000173267",0.636363636363636,0.693954235935254,-0.486258996264143,0.77230469728893,-0.525422492922406,-0.569477559472756,0.860697894618586,0.29359033736703,0.762770071396474,-0.572727272727273
"ENSG00000173281",0.845454545454546,0.718738315790084,-0.605530070819498,0.829512452643665,-0.599774732486898,-0.669705609939962,0.804868841994677,0.394512015836946,0.848581704428577,-0.627272727272727
"ENSG00000173327",0.4,0.589861100544966,-0.247716847153431,0.657889186579459,-0.83770189909327,-0.33257489473209,0.57224778939506,0.83489752188749,0.657889186579459,-0.390909090909091
"ENSG00000173334",0.709090909090909,0.718738315790084,-0.458734902135984,0.829512452643665,-0.803004187296508,-0.514807713763372,0.762997052526746,0.614704768862218,0.848581704428577,-0.536363636363636
"ENSG00000173338",0.790909090909091,0.748479211615881,-0.376162619751506,0.734166193719106,-0.807961003267474,-0.473805329481333,0.753692210422761,0.614704768862218,0.734166193719106,-0.6
"ENSG00000173391",0.618181818181818,0.674126972051389,-0.458734902135984,0.781839323181386,-0.793090555354576,-0.537586816142282,0.707167999902838,0.724801145374854,0.781839323181386,-0.5
"ENSG00000173442",0.536363636363636,0.743522395644915,-0.29359033736703,0.800908574966298,-0.897183690744864,-0.400912201868821,0.767649473578738,0.743150541460293,0.800908574966298,-0.590909090909091
"ENSG00000173517",-0.381818181818182,-0.589861100544966,0.256891545196151,-0.762770071396474,0.852572347006169,0.369021458538346,-0.739734947266784,-0.724801145374854,-0.753235445504018,0.490909090909091
"ENSG00000173530",0.618181818181818,0.748479211615881,-0.449560204093264,0.858116330321033,-0.644386076225593,-0.5330309956665,0.832783368306631,0.495433694306862,0.819977826751209,-0.536363636363636
"ENSG00000173535",0.5,0.565077020690135,-0.211018054982552,0.638819934794547,-0.748479211615881,-0.291572510450051,0.749039789370769,0.614704768862218,0.657889186579459,-0.418181818181818
"ENSG00000173559",0.809090909090909,0.679083788022355,-0.486258996264143,0.819977826751209,-0.634472444283661,-0.592256661851667,0.837435789358624,0.449560204093264,0.819977826751209,-0.627272727272727
"ENSG00000173578",0.733975843417574,0.5952977233111,-0.583333333333333,0.943005439676389,-0.655327745829867,-0.685073763343071,0.755943527840506,0.324074074074074,0.933382935189895,-0.642228862990377
"ENSG00000173588",-0.381818181818182,-0.594817916515932,0.211018054982552,-0.657889186579459,0.763349659528779,0.314351612828962,-0.735082526214792,-0.605530070819498,-0.638819934794547,0.427272727272727
"ENSG00000173597",0.836363636363636,0.649342892196559,-0.504608392349582,0.77230469728893,-0.584904284574,-0.624147405182141,0.88861242093054,0.339463827580628,0.791373949073842,-0.727272727272727
"ENSG00000173627",-0.681818181818182,-0.679083788022355,0.605530070819498,-0.867650956213489,0.579947468603033,0.660593968988398,-0.87000273672257,-0.339463827580628,-0.886720207998401,0.627272727272727
"ENSG00000173638",0.727272727272727,0.78813373938361,-0.440385506050544,0.77230469728893,-0.783176923412643,-0.496584431860244,0.762997052526746,0.596355372776779,0.791373949073842,-0.572727272727273
"ENSG00000173727",0.636363636363636,0.669170156080423,-0.357813223666067,0.886720207998401,-0.807961003267474,-0.523919354714936,0.762997052526746,0.642228862990377,0.867650956213489,-0.718181818181818
"ENSG00000173744",0.754545454545455,0.758392843557813,-0.743150541460293,0.743700819611562,-0.262711246461203,-0.8883849927775,0.7909115788387,0.247716847153431,0.743700819611562,-0.918181818181818
"ENSG00000173757",0.890909090909091,0.753436027586847,-0.56883127864862,0.743700819611562,-0.540292940835305,-0.660593968988398,0.846740631462608,0.311939733452469,0.762770071396474,-0.727272727272727
"ENSG00000173801",0.354545454545455,0.49568159709661,-0.201843356939833,0.705562316041738,-0.847615531035203,-0.296128330925833,0.609467157810998,0.642228862990377,0.67695843836437,-0.327272727272727
"ENSG00000173826",-0.710707994222,-0.720377401877226,0.809214646633426,-0.893520562401218,0.53655696139821,0.872146118721461,-0.60619401959191,-0.482770101684715,-0.903076932052568,0.73348709660091
"ENSG00000173838",-0.627272727272727,-0.748479211615881,0.605530070819498,-0.734166193719106,0.411415725590186,0.678817250891526,-0.88861242093054,-0.321114431495189,-0.753235445504018,0.7
"ENSG00000173846",0.618181818181818,0.69891105190622,-0.256891545196151,0.600681431224723,-0.743522395644915,-0.346242356159436,0.776954315682723,0.605530070819498,0.629285308902091,-0.572727272727273
"ENSG00000173868",0.409090909090909,0.510552045009508,-0.256891545196151,0.409988913375605,-0.470897517241779,-0.350798176635218,0.642034105174945,0.633054164947657,0.438592791052972,-0.427272727272727
"ENSG00000173914",-0.581818181818182,-0.713781499819118,0.5596565806059,-0.5625429276549,0.247840798548305,0.674261430415744,-0.7909115788387,-0.394512015836946,-0.553008301762444,0.618181818181818
"ENSG00000173918",0.706152173746218,0.53655696139821,-0.289662061010829,0.659389505943145,-0.606110641579459,-0.447488584474886,0.531585524872906,0.331042355440947,0.640276766640445,-0.646926507561051
"ENSG00000173926",0.318181818181818,0.426286173503084,-0.339463827580628,0.648354560687003,-0.69891105190622,-0.455582047578205,0.483851789407205,0.706451749289415,0.657889186579459,-0.527272727272727
"ENSG00000173928",-0.581818181818182,-0.713781499819118,0.522957788435021,-0.905789459783313,0.817874635209406,0.605924123279013,-0.679253473590884,-0.623879466904938,-0.924858711568225,0.718181818181818
"ENSG00000173947",-0.845454545454546,-0.72369513176105,0.633054164947657,-0.858116330321033,0.604731548457864,0.715263814697782,-0.814173684098662,-0.29359033736703,-0.858116330321033,0.690909090909091
"ENSG00000173988",-0.4,-0.456027069328881,0.110096376512636,-0.591146805332267,0.708824683848152,0.241458485216449,-0.749039789370769,-0.55048188256318,-0.581612179439811,0.4
