Geneid	ICU_06	ICU_25	ICU_26	ICU_27	NON_07	NON_19	NON_20	NON_22	NON_23	NON_26	NON_28
ENSG00000099899	1404	763	653	1504	1256	1286	1058	1670	1764	2068	1204
ENSG00000099901	2668	2036	926	2076	2245	2476	1969	3670	2707	5973	2180
ENSG00000099904	574	382	188	541	416	544	228	386	316	379	261
ENSG00000099910	574	268	176	433	626	500	391	742	728	786	422
ENSG00000099917	1846	1859	3101	3621	1904	3170	1285	2781	2010	3644	1670
ENSG00000099937	26	80	31	14	14	0	14	14	8	58	0
ENSG00000099940	1427	907	1536	1535	1342	1274	917	1389	1398	1990	1261
ENSG00000099942	2570	1988	1994	2294	1771	1267	934	1658	1489	1076	1223
ENSG00000099949	784	557	162	596	1002	780	551	1144	1135	866	542
ENSG00000099953	24	4	0	14	90	36	10	46	24	18	30
ENSG00000099954	6	42	0	0	16	6	0	2	0	1	2
ENSG00000099956	1430	851	868	1575	1201	1880	754	1378	1233	3070	1141
ENSG00000099957	92	30	8	163	164	155	62	264	168	110	114
ENSG00000099958	46	4	1	69	118	135	38	88	62	155	27
ENSG00000099960	104	77	59	157	86	242	171	257	253	291	245
ENSG00000099968	2292	1860	1289	1806	1479	2199	1525	2581	2342	2366	2557
ENSG00000099974	140	48	36	64	63	57	83	77	81	61	42
ENSG00000099977	0	0	0	1	0	1	1	0	9	14	0
ENSG00000099984	70	8	0	1	8	0	8	0	10	0	8
ENSG00000099985	9558	1784	34819	42906	966	2325	78	59	362	534	6
ENSG00000099991	1385	633	886	2463	1570	4179	1687	3617	2562	4756	1878
ENSG00000099992	819	576	391	679	530	506	422	902	667	902	487
ENSG00000099994	34	36	56	65	24	34	12	36	24	36	18
ENSG00000099995	3426	1743	3792	4204	2424	3285	1952	3440	2608	3015	2503
ENSG00000099998	176	24	96	133	22	6	2	6	2	8	6
ENSG00000099999	493	246	192	303	588	589	345	610	399	407	336
ENSG00000100003	243	658	439	435	344	412	169	441	191	321	199
ENSG00000100012	1095	240	41	1116	1085	594	4607	5254	2249	1190	4286
ENSG00000100014	1271	835	1010	1407	850	909	537	1031	776	1048	523
ENSG00000100023	912	523	713	1087	671	1945	885	1401	774	796	896
ENSG00000100024	226	126	1088	320	84	28	19	10	28	14	6
ENSG00000100027	59	17	28	46	187	104	83	181	165	802	61
ENSG00000100028	973	432	393	715	1238	746	412	647	711	1357	708
ENSG00000100029	1745	1330	1133	1924	1657	2905	1515	2710	2692	4294	1883
ENSG00000100030	6239	4094	3500	5974	3878	3061	3675	6463	3626	2876	4503
ENSG00000100031	0	2	40	25	2	2	0	0	2	0	0
ENSG00000100033	8	75	14	10	11	4	4	2	42	0	10
ENSG00000100034	1323	751	1997	2779	715	804	330	690	611	338	471
ENSG00000100036	126	220	208	224	122	332	161	277	209	266	170
ENSG00000100038	0	6	0	2	0	0	0	0	0	0	0
ENSG00000100053	41	22	2	43	58	32	69	86	145	48	12
ENSG00000100055	6427	1308	15664	26607	425	4464	182	308	595	306	148
ENSG00000100056	518	362	330	551	502	862	392	675	628	1238	514
ENSG00000100058	623	373	157	327	398	671	317	818	595	1361	335
ENSG00000100060	236	106	626	506	80	126	46	98	134	88	36
ENSG00000100065	198	282	136	266	217	263	131	373	260	326	134
ENSG00000100068	284	164	281	336	152	578	208	488	188	136	356
ENSG00000100075	912	503	723	1108	958	1587	507	855	1235	3336	655
ENSG00000100077	1009	389	320	705	1153	744	950	1485	1210	1124	1003
ENSG00000100078	140	54	4	46	44	80	36	61	101	34	24
ENSG00000100079	168	7	57	85	57	135	46	99	207	42	103
ENSG00000100083	3090	2283	4036	4271	2462	3298	1688	4684	3212	3651	2261
ENSG00000100084	707	485	269	502	623	915	539	1323	888	1103	988
ENSG00000100092	447	583	857	588	335	435	98	420	372	220	197
ENSG00000100095	18	14	4	0	4	6	2	6	2	0	24
ENSG00000100097	1838	2390	2498	3343	998	725	215	682	950	512	728
ENSG00000100099	1184	1056	680	1132	1016	1843	1225	2709	1428	1142	1440
ENSG00000100100	4508	1509	6450	3557	2043	5636	1726	2431	4414	1305	2703
ENSG00000100101	0	0	0	0	0	0	0	0	0	0	0
ENSG00000100104	331	197	206	228	265	255	181	304	264	199	280
ENSG00000100105	2094	858	491	1396	2194	3072	1399	2470	2293	2109	1618
ENSG00000100106	2302	1556	1505	2382	1910	2597	1676	3765	2518	3662	2361
ENSG00000100109	671	339	1411	1185	403	458	327	486	376	255	454
ENSG00000100116	354	196	255	457	448	871	516	689	754	1655	569
ENSG00000100121	0	6	0	0	0	0	0	0	0	16	0
ENSG00000100122	0	0	0	0	0	8	2	10	7	0	2
ENSG00000100124	1832	958	481	2021	2436	4670	2794	5627	3861	9432	2537
ENSG00000100129	1557	868	1314	1882	1670	1447	460	858	598	761	1149
ENSG00000100138	3914	2035	1957	3018	3780	4163	1934	3878	4227	9891	3280
ENSG00000100139	822	1564	2134	1561	682	771	246	569	618	939	469
ENSG00000100142	1438	928	781	1078	1200	1357	961	1439	1909	3382	1124
ENSG00000100146	4	12	4	34	20	24	7	4	0	10	3
ENSG00000100147	238	195	151	272	197	197	139	252	207	272	130
ENSG00000100150	324	342	180	342	351	597	343	721	467	229	319
ENSG00000100151	942	683	471	1208	1018	1567	752	1324	1146	2143	933
ENSG00000100154	312	132	24	143	277	304	152	309	156	319	262
ENSG00000100156	12	8	4	26	8	3	9	30	16	32	14
ENSG00000100162	482	228	58	951	988	222	330	439	1370	4220	230
ENSG00000100167	72	8	10	30	48	108	48	66	70	166	58
ENSG00000100170	1045	746	360	522	378	541	342	352	292	494	76
ENSG00000100181	411	234	151	40	39	100	92	96	70	774	26
ENSG00000100191	0	0	0	2	0	0	0	0	0	0	0
ENSG00000100196	1495	932	213	1350	695	933	1367	2594	854	1921	1511
ENSG00000100197	94	5	10	71	38	138	39	43	45	52	70
ENSG00000100201	52803	17147	9413	27783	45745	28381	23437	53069	51209	23703	30746
ENSG00000100206	41	30	8	29	26	87	16	44	54	47	27
ENSG00000100207	1338	840	1418	1409	1280	1106	857	1645	1432	1132	1188
ENSG00000100209	712	371	184	343	623	370	308	622	730	1081	539
ENSG00000100211	1958	645	247	1538	3432	4201	2979	5610	4775	7510	2725
ENSG00000100216	2556	1834	1005	2278	2118	2772	1778	2961	2860	5137	2444
ENSG00000100218	390	77	87	815	1029	1373	860	1785	1614	3488	1007
ENSG00000100219	34361	14938	22395	29465	29389	25750	16255	26910	18330	19346	23686
ENSG00000100220	3644	2893	2727	3167	2735	3856	2535	4479	3833	4517	2799
ENSG00000100221	5246	3430	13988	11756	1716	2220	839	1532	1320	3281	1235
ENSG00000100225	4860	4195	3367	3630	3661	5958	3420	6452	5697	6705	4427
ENSG00000100226	1856	1102	7564	6911	1004	1809	649	1220	1153	2397	1301
ENSG00000100227	2612	1536	2478	2613	2565	2572	1449	3044	2867	4018	2003
ENSG00000100228	2337	542	158	2976	4214	4082	2021	6423	5191	11902	2465
ENSG00000100234	1130	2454	2617	864	596	246	268	592	362	240	572
ENSG00000100239	2005	1196	1749	2635	1511	3083	1621	2984	2270	2991	2082
ENSG00000100241	1157	917	1934	2938	1081	1803	722	1647	911	2374	1002
ENSG00000100242	1559	844	3420	5707	748	929	389	704	472	523	625
ENSG00000100243	4161	2942	2357	5631	5275	5780	2842	4433	3828	6807	4533
ENSG00000100246	1383	327	341	1342	2834	2604	898	2766	2920	7109	2011
ENSG00000100249	6	0	0	8	7	0	12	2	10	6	8
ENSG00000100253	0	0	0	0	0	0	0	5	10	8	0
ENSG00000100258	1975	1228	1026	2477	1718	3267	1328	2354	2440	1852	2064
ENSG00000100263	775	722	368	810	794	990	638	1250	717	931	768
ENSG00000100266	4727	2748	7608	9083	2983	2925	1666	4216	3263	4369	1830
ENSG00000100271	208	29	44	200	246	267	179	384	390	641	205
ENSG00000100276	41	102	31	40	31	127	52	114	44	46	30
ENSG00000100280	1961	1396	2179	2861	1620	3266	1096	2532	1997	3357	1697
ENSG00000100281	1006	582	614	874	653	573	452	1001	546	437	629
ENSG00000100284	4942	2570	15842	14544	2333	3198	1678	2561	2985	4866	1683
ENSG00000100285	8	51	19	20	0	6	12	1	4	10	0
ENSG00000100288	20	6	5	24	17	21	10	19	16	10	16
ENSG00000100290	1233	1190	290	1261	1043	1209	804	1420	2107	5224	724
ENSG00000100292	3135	2949	44630	9115	1306	496	160	294	814	658	232
ENSG00000100294	1393	702	355	1053	1566	1630	1342	2552	2803	5329	1695
ENSG00000100296	616	454	692	1041	475	694	294	597	282	585	300
ENSG00000100297	652	412	596	966	411	668	295	554	379	516	286
ENSG00000100298	18	8	11	8	4	26	4	18	23	10	22
ENSG00000100299	997	824	867	2793	1296	1656	842	1975	890	2457	1179
ENSG00000100300	7125	6486	4019	7667	5233	6311	2234	3807	4812	12079	4776
ENSG00000100302	12	0	8	8	5	4	2	0	8	2	0
ENSG00000100304	1232	1574	1000	1715	950	1198	446	1119	796	1675	463
ENSG00000100307	946	200	498	1140	869	974	859	1567	1644	1591	1266
ENSG00000100311	8	24	142	58	64	18	8	12	44	60	14
ENSG00000100312	0	0	22	4	0	16	9	12	5	4	14
ENSG00000100314	17	4	6	19	4	15	17	6	7	23	2
ENSG00000100316	58613	37727	23727	38674	64864	71371	31167	47531	59100	140203	74181
ENSG00000100319	344	167	356	387	224	306	202	421	351	577	282
ENSG00000100320	1927	1378	715	1209	1813	1735	881	2122	1458	1146	1441
ENSG00000100321	934	550	426	601	1004	1287	478	1113	535	656	744
