"","ID","two_clusters"
"ENSG00000000938","ENSG00000000938",1
"ENSG00000002834","ENSG00000002834",1
"ENSG00000003056","ENSG00000003056",1
"ENSG00000003402","ENSG00000003402",1
"ENSG00000004399","ENSG00000004399",1
"ENSG00000004660","ENSG00000004660",1
"ENSG00000004700","ENSG00000004700",1
"ENSG00000005001","ENSG00000005001",1
"ENSG00000005020","ENSG00000005020",1
"ENSG00000005238","ENSG00000005238",1
"ENSG00000005844","ENSG00000005844",1
"ENSG00000005893","ENSG00000005893",1
"ENSG00000007237","ENSG00000007237",1
"ENSG00000007350","ENSG00000007350",1
"ENSG00000007923","ENSG00000007923",1
"ENSG00000007944","ENSG00000007944",1
"ENSG00000007968","ENSG00000007968",1
"ENSG00000008118","ENSG00000008118",1
"ENSG00000008130","ENSG00000008130",1
"ENSG00000008294","ENSG00000008294",1
"ENSG00000008438","ENSG00000008438",1
"ENSG00000008513","ENSG00000008513",1
"ENSG00000008516","ENSG00000008516",1
"ENSG00000009694","ENSG00000009694",1
"ENSG00000009790","ENSG00000009790",1
"ENSG00000010327","ENSG00000010327",1
"ENSG00000010438","ENSG00000010438",1
"ENSG00000010539","ENSG00000010539",1
"ENSG00000010671","ENSG00000010671",1
"ENSG00000010818","ENSG00000010818",1
"ENSG00000011132","ENSG00000011132",1
"ENSG00000011198","ENSG00000011198",1
"ENSG00000011422","ENSG00000011422",1
"ENSG00000011600","ENSG00000011600",1
"ENSG00000012124","ENSG00000012124",1
"ENSG00000012232","ENSG00000012232",1
"ENSG00000012779","ENSG00000012779",1
"ENSG00000012822","ENSG00000012822",1
"ENSG00000013016","ENSG00000013016",1
"ENSG00000013563","ENSG00000013563",1
"ENSG00000013810","ENSG00000013810",1
"ENSG00000014164","ENSG00000014164",1
"ENSG00000014257","ENSG00000014257",1
"ENSG00000015285","ENSG00000015285",1
"ENSG00000015475","ENSG00000015475",1
"ENSG00000016602","ENSG00000016602",1
"ENSG00000017797","ENSG00000017797",1
"ENSG00000018280","ENSG00000018280",1
"ENSG00000019169","ENSG00000019169",1
"ENSG00000019991","ENSG00000019991",1
"ENSG00000019995","ENSG00000019995",1
"ENSG00000021355","ENSG00000021355",1
"ENSG00000022277","ENSG00000022277",1
"ENSG00000022567","ENSG00000022567",1
"ENSG00000026025","ENSG00000026025",1
"ENSG00000026508","ENSG00000026508",1
"ENSG00000026751","ENSG00000026751",1
"ENSG00000027075","ENSG00000027075",1
"ENSG00000027697","ENSG00000027697",1
"ENSG00000028137","ENSG00000028137",1
"ENSG00000030582","ENSG00000030582",1
"ENSG00000031081","ENSG00000031081",1
"ENSG00000032444","ENSG00000032444",1
"ENSG00000033100","ENSG00000033100",1
"ENSG00000033327","ENSG00000033327",1
"ENSG00000034152","ENSG00000034152",1
"ENSG00000035681","ENSG00000035681",1
"ENSG00000035862","ENSG00000035862",1
"ENSG00000036257","ENSG00000036257",1
"ENSG00000038219","ENSG00000038219",1
"ENSG00000038358","ENSG00000038358",1
"ENSG00000038427","ENSG00000038427",1
"ENSG00000039319","ENSG00000039319",1
"ENSG00000040633","ENSG00000040633",1
"ENSG00000042832","ENSG00000042832",1
"ENSG00000043462","ENSG00000043462",1
"ENSG00000047644","ENSG00000047644",1
"ENSG00000049249","ENSG00000049249",1
"ENSG00000050730","ENSG00000050730",1
"ENSG00000051128","ENSG00000051128",1
"ENSG00000051523","ENSG00000051523",1
"ENSG00000052344","ENSG00000052344",1
"ENSG00000054277","ENSG00000054277",1
"ENSG00000054523","ENSG00000054523",1
"ENSG00000054967","ENSG00000054967",1
"ENSG00000055070","ENSG00000055070",1
"ENSG00000055208","ENSG00000055208",1
"ENSG00000056558","ENSG00000056558",1
"ENSG00000057657","ENSG00000057657",1
"ENSG00000057704","ENSG00000057704",1
"ENSG00000058063","ENSG00000058063",1
"ENSG00000058272","ENSG00000058272",1
"ENSG00000059145","ENSG00000059145",1
"ENSG00000059377","ENSG00000059377",1
"ENSG00000059728","ENSG00000059728",1
"ENSG00000059804","ENSG00000059804",1
"ENSG00000060069","ENSG00000060069",1
"ENSG00000060558","ENSG00000060558",1
"ENSG00000060982","ENSG00000060982",1
"ENSG00000062282","ENSG00000062282",1
"ENSG00000062582","ENSG00000062582",1
"ENSG00000062822","ENSG00000062822",1
"ENSG00000064547","ENSG00000064547",1
"ENSG00000064601","ENSG00000064601",1
"ENSG00000064666","ENSG00000064666",1
"ENSG00000064886","ENSG00000064886",1
"ENSG00000064932","ENSG00000064932",1
"ENSG00000065135","ENSG00000065135",1
"ENSG00000065615","ENSG00000065615",1
"ENSG00000065618","ENSG00000065618",1
"ENSG00000065911","ENSG00000065911",1
"ENSG00000066084","ENSG00000066084",1
"ENSG00000066230","ENSG00000066230",1
"ENSG00000066336","ENSG00000066336",1
"ENSG00000067064","ENSG00000067064",1
"ENSG00000067082","ENSG00000067082",1
"ENSG00000067182","ENSG00000067182",1
"ENSG00000067225","ENSG00000067225",1
"ENSG00000067334","ENSG00000067334",1
"ENSG00000068323","ENSG00000068323",1
"ENSG00000068366","ENSG00000068366",1
"ENSG00000068383","ENSG00000068383",1
"ENSG00000068650","ENSG00000068650",1
"ENSG00000068831","ENSG00000068831",1
"ENSG00000068976","ENSG00000068976",1
"ENSG00000069399","ENSG00000069399",1
"ENSG00000069956","ENSG00000069956",1
"ENSG00000069974","ENSG00000069974",1
"ENSG00000070190","ENSG00000070190",1
"ENSG00000070366","ENSG00000070366",1
"ENSG00000070495","ENSG00000070495",1
"ENSG00000070614","ENSG00000070614",1
"ENSG00000070756","ENSG00000070756",1
"ENSG00000070961","ENSG00000070961",1
"ENSG00000071054","ENSG00000071054",1
"ENSG00000071127","ENSG00000071127",1
"ENSG00000072062","ENSG00000072062",1
"ENSG00000072110","ENSG00000072110",1
"ENSG00000072134","ENSG00000072134",1
"ENSG00000072201","ENSG00000072201",1
"ENSG00000072401","ENSG00000072401",1
"ENSG00000072518","ENSG00000072518",1
"ENSG00000072694","ENSG00000072694",1
"ENSG00000072736","ENSG00000072736",1
"ENSG00000072786","ENSG00000072786",1
"ENSG00000072818","ENSG00000072818",1
"ENSG00000072952","ENSG00000072952",1
"ENSG00000073756","ENSG00000073756",1
"ENSG00000073921","ENSG00000073921",1
"ENSG00000074211","ENSG00000074211",1
"ENSG00000074660","ENSG00000074660",1
"ENSG00000074800","ENSG00000074800",1
"ENSG00000074855","ENSG00000074855",1
"ENSG00000075399","ENSG00000075399",1
"ENSG00000075420","ENSG00000075420",1
"ENSG00000075426","ENSG00000075426",1
"ENSG00000075618","ENSG00000075618",1
