"","ICU_06","ICU_25","ICU_26","ICU_27","NON_07","NON_19","NON_20","NON_22","NON_23","NON_26","NON_28","ENSGID","SYMBOL"
"ENSG00000000003",15937,7496,5819,10069,13345,10431,15810,22919,22571,11980,13303,"ENSG00000000003","TSPAN6"
"ENSG00000000419",3901,2122,1316,2816,2791,1607,2332,5326,2827,2174,3000,"ENSG00000000419","DPM1"
"ENSG00000000457",1116,560,647,812,771,732,891,1558,1009,525,599,"ENSG00000000457","SCYL3"
"ENSG00000000460",282,158,127,225,136,70,65,208,133,53,153,"ENSG00000000460","C1orf112"
"ENSG00000000938",6825,7174,28846,23849,1939,1843,189,84,207,185,115,"ENSG00000000938","FGR"
"ENSG00000000971",14532,5829,3089,7254,11202,5991,3856,11396,10962,5018,12492,"ENSG00000000971","CFH"
"ENSG00000001036",4441,2158,1317,1764,2362,3296,2712,5704,4543,2467,1530,"ENSG00000001036","FUCA2"
"ENSG00000001084",14920,8723,2378,8795,9523,3761,12324,31532,14125,5255,8279,"ENSG00000001084","GCLC"
"ENSG00000001167",1972,1018,1297,1594,924,986,769,1239,1122,634,685,"ENSG00000001167","NFYA"
"ENSG00000001460",846,538,273,823,1357,1493,1347,1714,1550,2841,875,"ENSG00000001460","STPG1"
"ENSG00000001461",1714,1198,1362,1399,2019,2096,1263,2717,2081,1244,1206,"ENSG00000001461","NIPAL3"
"ENSG00000001497",1604,688,515,1136,1450,2293,1169,2524,2307,2099,1578,"ENSG00000001497","LAS1L"
"ENSG00000001561",5623,3245,1149,4321,3326,2014,5588,13162,5996,2762,3958,"ENSG00000001561","ENPP4"
"ENSG00000001617",3524,2608,2098,2636,3464,2817,1070,3061,2376,1285,1563,"ENSG00000001617","SEMA3F"
"ENSG00000001626",1951,323,148,700,1831,345,1071,2493,753,339,2588,"ENSG00000001626","CFTR"
"ENSG00000001629",4009,1552,605,2088,2360,838,1706,4666,2246,1085,3032,"ENSG00000001629","ANKIB1"
"ENSG00000001630",19,11,0,61,0,0,5,10,5,5,10,"ENSG00000001630","CYP51A1"
"ENSG00000001631",894,384,170,470,640,339,698,1403,846,559,733,"ENSG00000001631","KRIT1"
"ENSG00000002016",284,173,65,160,412,262,113,475,402,242,350,"ENSG00000002016","RAD52"
"ENSG00000002079",13,14,4,27,8,18,2,12,24,2,9,"ENSG00000002079","MYH16"
"ENSG00000002330",768,439,411,909,986,1398,670,1146,1310,2914,1825,"ENSG00000002330","BAD"
"ENSG00000002549",5838,2783,1747,4507,5008,4593,4286,17588,10071,3906,11823,"ENSG00000002549","LAP3"
"ENSG00000002586",3285,2583,2903,4569,2896,3755,2536,3819,4758,6150,3778,"ENSG00000002586","CD99"
"ENSG00000002587",4928,4594,2047,3515,3494,2318,1625,3374,2417,2988,1386,"ENSG00000002587","HS3ST1"
"ENSG00000002726",2,6,39,185,2,9,38,4,22,30,1,"ENSG00000002726","AOC1"
"ENSG00000002745",31,110,56,13,8,5,8,13,31,12,2,"ENSG00000002745","WNT16"
"ENSG00000002834",3890,3639,9367,7809,2576,4184,1689,2256,2432,3852,1888,"ENSG00000002834","LASP1"
"ENSG00000002919",1199,955,984,1331,911,1043,715,1385,1219,1344,912,"ENSG00000002919","SNX11"
"ENSG00000002933",80,40,53,337,74,69,181,80,165,81,91,"ENSG00000002933","TMEM176A"
"ENSG00000003056",1362,594,1332,1786,905,987,397,952,566,362,1056,"ENSG00000003056","M6PR"
"ENSG00000003096",365,78,0,279,435,47,400,642,571,422,847,"ENSG00000003096","KLHL13"
"ENSG00000003137",42,31,34,108,11,1,2,0,14,0,9,"ENSG00000003137","CYP26B1"
"ENSG00000003147",1918,762,478,1092,1319,1918,862,2054,967,1931,973,"ENSG00000003147","ICA1"
"ENSG00000003249",137,113,23,114,102,268,102,137,253,507,66,"ENSG00000003249","DBNDD1"
"ENSG00000003393",1991,1175,445,1379,1906,989,1896,3542,2492,1448,1460,"ENSG00000003393","ALS2"
"ENSG00000003400",1148,721,537,1251,1037,945,729,1361,1393,1226,1155,"ENSG00000003400","CASP10"
"ENSG00000003402",13367,9105,14724,22323,6700,8024,7463,10863,7556,6441,6071,"ENSG00000003402","CFLAR"
"ENSG00000003436",326,649,1614,742,293,415,249,570,212,267,104,"ENSG00000003436","TFPI"
"ENSG00000003509",992,504,367,621,624,440,603,1025,729,504,481,"ENSG00000003509","NDUFAF7"
"ENSG00000003756",6665,3592,2688,4731,6214,7789,4430,11234,8411,4551,4241,"ENSG00000003756","RBM5"
"ENSG00000003987",289,103,63,150,154,101,232,469,251,130,213,"ENSG00000003987","MTMR7"
"ENSG00000003989",2027,974,105,2280,1716,956,3215,6493,7827,4147,6659,"ENSG00000003989","SLC7A2"
"ENSG00000004059",3417,1882,2321,3677,2796,3873,2106,3469,2884,5306,3126,"ENSG00000004059","ARF5"
"ENSG00000004139",114,45,35,42,68,136,64,149,100,143,69,"ENSG00000004139","SARM1"
"ENSG00000004142",1935,1729,2260,2215,1804,3014,1234,2337,1863,4632,1793,"ENSG00000004142","POLDIP2"
"ENSG00000004399",170,215,412,640,115,157,98,156,96,114,63,"ENSG00000004399","PLXND1"
"ENSG00000004455",6471,3312,2677,4552,5082,5375,3190,7867,5835,5710,5448,"ENSG00000004455","AK2"
"ENSG00000004468",1237,475,102,966,1678,938,1480,3396,4139,1877,3952,"ENSG00000004468","CD38"
"ENSG00000004478",2114,2257,1059,1964,2148,1800,662,1377,1479,3479,1282,"ENSG00000004478","FKBP4"
"ENSG00000004487",2725,1691,893,2217,3342,4388,2293,3779,3304,6497,2343,"ENSG00000004487","KDM1A"
"ENSG00000004534",8114,4216,1980,5678,7245,7986,5321,11439,9684,4897,3497,"ENSG00000004534","RBM6"
"ENSG00000004660",553,573,1068,874,296,384,154,455,236,250,221,"ENSG00000004660","CAMKK1"
"ENSG00000004700",382,149,313,430,215,114,211,327,173,68,286,"ENSG00000004700","RECQL"
"ENSG00000004766",2633,1210,438,1185,1649,514,1268,2815,1787,733,1610,"ENSG00000004766","VPS50"
"ENSG00000004777",132,48,12,197,319,813,261,797,432,437,228,"ENSG00000004777","ARHGAP33"
"ENSG00000004779",5610,3842,1482,4027,5352,4264,6056,9759,7338,10598,4351,"ENSG00000004779","NDUFAB1"
"ENSG00000004799",1514,1084,1273,939,1665,698,2832,8402,1083,1088,2346,"ENSG00000004799","PDK4"
"ENSG00000004809",1811,111,48,15,7,205,39,66,154,56,3,"ENSG00000004809","SLC22A16"
"ENSG00000004838",4831,1786,707,6200,11960,32243,11763,17116,16894,35010,9930,"ENSG00000004838","ZMYND10"
"ENSG00000004848",84,43,0,90,170,33,414,936,322,298,325,"ENSG00000004848","ARX"
"ENSG00000004864",2004,1381,3144,2075,1067,1058,902,2304,1363,1146,1968,"ENSG00000004864","SLC25A13"
"ENSG00000004866",670,440,221,473,808,852,528,1021,737,1209,506,"ENSG00000004866","ST7"
"ENSG00000004897",3567,2336,1153,2315,2423,1173,2101,5167,2475,1672,2055,"ENSG00000004897","CDC27"
"ENSG00000004961",1861,1409,888,1186,1490,1181,1089,2164,1606,1646,962,"ENSG00000004961","HCCS"
"ENSG00000004975",1175,758,820,1070,1366,1220,910,1489,1193,1179,901,"ENSG00000004975","DVL2"
"ENSG00000005001",3548,5648,14180,10691,3191,3644,966,1620,1646,1845,1231,"ENSG00000005001","PRSS22"
"ENSG00000005007",3781,2338,3072,5353,3362,6059,2593,4093,2944,8477,3400,"ENSG00000005007","UPF1"
"ENSG00000005020",1857,1332,1726,4306,264,405,154,219,411,166,187,"ENSG00000005020","SKAP2"
"ENSG00000005022",13740,9419,7461,8659,9647,10957,7956,18220,12047,14178,7992,"ENSG00000005022","SLC25A5"
"ENSG00000005059",1639,1467,767,1219,1090,930,467,1650,1442,853,875,"ENSG00000005059","MCUB"
"ENSG00000005075",1833,1017,1189,1690,1531,3092,1194,1694,2234,4623,1896,"ENSG00000005075","POLR2J"
"ENSG00000005100",1458,907,341,896,899,402,673,1625,1052,717,871,"ENSG00000005100","DHX33"
"ENSG00000005102",125,103,42,73,70,38,8,60,35,12,33,"ENSG00000005102","MEOX1"
"ENSG00000005108",219,39,71,160,127,50,207,236,29,0,29,"ENSG00000005108","THSD7A"
"ENSG00000005156",888,514,298,722,1072,634,827,1134,1099,1466,1048,"ENSG00000005156","LIG3"
"ENSG00000005175",2568,1337,572,1756,1927,993,1962,4243,2210,1538,1969,"ENSG00000005175","RPAP3"
"ENSG00000005187",185,37,7,53,198,68,31,142,142,47,241,"ENSG00000005187","ACSM3"
"ENSG00000005189",579,178,76,276,504,1265,593,1349,934,863,422,"ENSG00000005189","AC004381.6"
"ENSG00000005194",1647,923,754,807,842,1420,739,2034,1127,1677,860,"ENSG00000005194","CIAPIN1"
"ENSG00000005206",1260,706,563,2506,2150,4044,1894,3926,2776,3459,2157,"ENSG00000005206","SPPL2B"
"ENSG00000005238",1614,2329,4335,3170,755,1433,654,1449,1296,1168,621,"ENSG00000005238","FAM214B"
"ENSG00000005243",289,143,186,177,265,481,172,246,182,706,206,"ENSG00000005243","COPZ2"
"ENSG00000005249",6068,1129,860,1720,1743,2295,3120,5421,1511,1019,862,"ENSG00000005249","PRKAR2B"
"ENSG00000005302",4431,2092,2092,4910,2631,3991,3474,7004,3621,2709,2462,"ENSG00000005302","MSL3"
"ENSG00000005339",4312,2684,3315,4972,1931,1826,2217,4017,2659,1871,2200,"ENSG00000005339","CREBBP"
"ENSG00000005379",1318,623,517,1715,1781,2500,1264,2551,2252,2523,2369,"ENSG00000005379","TSPOAP1"
"ENSG00000005381",18,38,94,26,2,9,8,21,0,6,0,"ENSG00000005381","MPO"
"ENSG00000005421",17,7,0,12,13,6,2,64,20,0,33,"ENSG00000005421","PON1"
"ENSG00000005436",1072,526,233,563,888,486,774,2008,1415,790,1227,"ENSG00000005436","GCFC2"
"ENSG00000005448",1601,585,253,2263,4124,13678,4324,6769,6519,15189,4136,"ENSG00000005448","WDR54"
"ENSG00000005469",3308,1832,853,1381,1724,563,1211,2762,1543,834,1389,"ENSG00000005469","CROT"
"ENSG00000005471",51,19,23,11,24,14,8,47,13,15,28,"ENSG00000005471","ABCB4"
"ENSG00000005483",4604,2821,3802,4706,1968,1406,2176,4345,2711,1306,2485,"ENSG00000005483","KMT2E"
"ENSG00000005486",3334,1778,3444,5249,2540,8666,3959,8947,6415,7785,5342,"ENSG00000005486","RHBDD2"
"ENSG00000005700",7357,4153,1914,5166,3931,3504,5857,12893,6032,5270,3752,"ENSG00000005700","IBTK"
"ENSG00000005801",2779,1670,770,1487,1607,637,1146,3186,1696,943,1526,"ENSG00000005801","ZNF195"
"ENSG00000005810",3746,1155,1032,1664,1930,1005,1488,3516,2042,912,2815,"ENSG00000005810","MYCBP2"
"ENSG00000005812",4585,2070,1211,2827,2302,1230,2284,5380,2724,1510,2935,"ENSG00000005812","FBXL3"
"ENSG00000005844",547,327,997,1579,137,401,150,139,358,277,148,"ENSG00000005844","ITGAL"
"ENSG00000005882",182,56,132,172,224,183,136,183,102,339,345,"ENSG00000005882","PDK2"
"ENSG00000005884",3442,3147,1145,4627,4133,2602,1147,3518,3458,2771,3179,"ENSG00000005884","ITGA3"
"ENSG00000005889",2204,1552,1002,1674,1494,974,638,2279,1056,683,942,"ENSG00000005889","ZFX"
"ENSG00000005893",14007,7545,9535,14858,5732,3782,5473,12355,6008,3413,7528,"ENSG00000005893","LAMP2"
"ENSG00000005981",14,17,0,20,45,22,52,226,92,108,99,"ENSG00000005981","ASB4"
"ENSG00000006007",3137,2095,3689,2698,2623,3044,2514,3926,2565,3319,2016,"ENSG00000006007","GDE1"
"ENSG00000006015",934,463,214,967,1000,1099,607,1429,1449,2257,1766,"ENSG00000006015","C19orf60"
"ENSG00000006016",213,326,49,422,362,142,336,609,394,620,242,"ENSG00000006016","CRLF1"
"ENSG00000006025",374,265,300,556,186,755,384,1275,463,587,284,"ENSG00000006025","OSBPL7"
"ENSG00000006042",1380,479,275,1320,1222,2841,958,2084,2507,2448,1764,"ENSG00000006042","TMEM98"
"ENSG00000006047",33,87,33,130,59,123,38,107,31,260,25,"ENSG00000006047","YBX2"
"ENSG00000006062",258,137,231,369,284,353,162,374,447,187,378,"ENSG00000006062","MAP3K14"
"ENSG00000006118",599,638,532,987,731,447,79,371,213,110,289,"ENSG00000006118","TMEM132A"
"ENSG00000006125",6524,2397,1749,6183,6631,11075,4888,10010,9375,8873,7093,"ENSG00000006125","AP2B1"
"ENSG00000006194",2261,1462,1200,1749,1892,1327,1546,2805,2647,1648,1813,"ENSG00000006194","ZNF263"
"ENSG00000006210",2744,568,272,1706,2975,2114,1024,2946,3872,1139,5382,"ENSG00000006210","CX3CL1"
"ENSG00000006282",1279,415,298,1519,1245,2749,998,2692,1413,2293,1494,"ENSG00000006282","SPATA20"
"ENSG00000006327",1303,5351,1655,2085,997,306,546,893,944,2846,846,"ENSG00000006327","TNFRSF12A"
"ENSG00000006432",638,1191,1413,1036,542,628,319,531,401,1001,236,"ENSG00000006432","MAP3K9"
"ENSG00000006451",5242,4728,6474,4004,2876,2701,1936,3843,3154,3260,2072,"ENSG00000006451","RALA"
"ENSG00000006453",4888,4208,1642,4243,5768,5110,4761,7932,7170,9894,3506,"ENSG00000006453","BAIAP2L1"
"ENSG00000006459",3229,1735,2143,3135,1593,2183,1188,3193,2131,1485,1851,"ENSG00000006459","KDM7A"
"ENSG00000006468",302,91,39,156,215,132,49,273,145,66,248,"ENSG00000006468","ETV1"
"ENSG00000006530",1321,577,413,856,1060,908,794,2076,1359,1056,1455,"ENSG00000006530","AGK"
"ENSG00000006534",3889,2045,1926,6651,6784,17436,11627,12663,12316,24410,7486,"ENSG00000006534","ALDH3B1"
"ENSG00000006555",901,1131,1183,1030,706,826,434,994,959,1083,569,"ENSG00000006555","TTC22"
"ENSG00000006576",2255,884,649,1561,1067,598,1695,3416,1432,466,1184,"ENSG00000006576","PHTF2"
"ENSG00000006606",84,90,170,42,7,22,15,45,35,0,2,"ENSG00000006606","CCL26"
"ENSG00000006607",905,805,632,789,784,690,463,1179,929,720,592,"ENSG00000006607","FARP2"
"ENSG00000006611",166,15,38,77,112,1399,273,1050,911,696,747,"ENSG00000006611","USH1C"
"ENSG00000006625",3038,3907,1050,1700,2101,1655,1269,3744,2905,2788,1014,"ENSG00000006625","GGCT"
"ENSG00000006634",1207,704,972,743,514,652,514,1285,507,444,333,"ENSG00000006634","DBF4"
"ENSG00000006652",3575,3942,2878,4526,1613,1107,1315,2899,1836,1276,1097,"ENSG00000006652","IFRD1"
"ENSG00000006695",428,622,233,389,502,432,298,756,554,818,343,"ENSG00000006695","COX10"
"ENSG00000006704",916,977,864,1035,910,1128,675,1968,983,1599,816,"ENSG00000006704","GTF2IRD1"
"ENSG00000006712",2249,1806,2756,3045,1559,2572,1356,1773,1837,3604,1363,"ENSG00000006712","PAF1"
"ENSG00000006715",2630,1250,1009,1811,1861,1367,1587,2825,2309,1827,2139,"ENSG00000006715","VPS41"
"ENSG00000006740",382,180,81,398,542,661,507,825,558,691,319,"ENSG00000006740","ARHGAP44"
"ENSG00000006744",1801,948,615,1646,1552,1999,1110,2470,1938,1594,1275,"ENSG00000006744","ELAC2"
"ENSG00000006747",3337,1156,529,1929,3466,1552,2748,5670,3065,2419,4419,"ENSG00000006747","SCIN"
"ENSG00000006756",2912,1105,574,1712,5011,6231,2133,6034,4737,2907,3170,"ENSG00000006756","ARSD"
"ENSG00000006757",776,299,170,436,1260,1851,732,2073,821,1749,909,"ENSG00000006757","PNPLA4"
"ENSG00000006831",3733,2368,4297,4045,2385,3101,1635,3346,2549,1825,2033,"ENSG00000006831","ADIPOR2"
"ENSG00000006837",135,69,13,61,91,73,205,437,223,141,81,"ENSG00000006837","CDKL3"
"ENSG00000007001",20,3,13,7,27,48,25,35,40,54,34,"ENSG00000007001","UPP2"
"ENSG00000007038",11,17,10,9,38,6,0,7,12,0,6,"ENSG00000007038","PRSS21"
"ENSG00000007047",447,411,862,799,346,627,276,473,448,653,347,"ENSG00000007047","MARK4"
"ENSG00000007062",26747,7978,2906,17358,16906,27689,31332,51628,36995,15651,10205,"ENSG00000007062","PROM1"
"ENSG00000007080",768,741,818,1301,888,1828,530,796,941,3131,874,"ENSG00000007080","CCDC124"
"ENSG00000007129",1,13,24,125,11,47,17,7,50,2,0,"ENSG00000007129","CEACAM21"
"ENSG00000007168",7146,5150,6234,7045,4581,5162,3934,8507,5656,5869,4695,"ENSG00000007168","PAFAH1B1"
"ENSG00000007171",4412,490,255,358,6282,6824,348,2885,1962,698,3306,"ENSG00000007171","NOS2"
"ENSG00000007174",1801,626,285,2399,5887,12409,5962,7922,7231,10516,4362,"ENSG00000007174","DNAH9"
"ENSG00000007202",3566,1949,1545,2874,3440,3391,2419,3649,3474,3608,2352,"ENSG00000007202","KIAA0100"
"ENSG00000007216",185,71,11,193,305,347,54,64,130,138,61,"ENSG00000007216","SLC13A2"
"ENSG00000007237",1543,1261,1917,2741,671,1029,590,848,608,1353,553,"ENSG00000007237","GAS7"
"ENSG00000007255",695,203,243,596,853,1594,763,1202,1282,2514,2043,"ENSG00000007255","TRAPPC6A"
"ENSG00000007264",85,46,194,161,103,95,144,150,131,194,210,"ENSG00000007264","MATK"
"ENSG00000007306",665,763,1222,1114,513,187,121,241,229,137,284,"ENSG00000007306","CEACAM7"
"ENSG00000007312",181,33,12,5,2,13,15,10,27,1,0,"ENSG00000007312","CD79B"
"ENSG00000007341",719,450,257,433,503,270,247,807,449,339,511,"ENSG00000007341","ST7L"
"ENSG00000007350",238,70,268,82,18,19,10,11,3,7,3,"ENSG00000007350","TKTL1"
"ENSG00000007372",139,163,450,226,133,91,28,100,58,45,91,"ENSG00000007372","PAX6"
"ENSG00000007376",453,394,701,812,378,906,337,708,445,1197,474,"ENSG00000007376","RPUSD1"
"ENSG00000007384",582,840,965,987,953,959,364,905,431,1032,505,"ENSG00000007384","RHBDF1"
"ENSG00000007392",2304,1303,895,1717,2410,3093,2038,4925,3203,2859,2009,"ENSG00000007392","LUC7L"
"ENSG00000007402",48,15,11,54,59,48,71,136,57,41,76,"ENSG00000007402","CACNA2D2"
"ENSG00000007516",1017,351,339,3049,2369,6209,1839,3510,2277,4547,2284,"ENSG00000007516","BAIAP3"
"ENSG00000007520",846,490,521,898,826,1329,574,948,1115,2140,1165,"ENSG00000007520","TSR3"
"ENSG00000007541",1308,688,588,2007,2118,3419,1621,2958,2843,3448,2423,"ENSG00000007541","PIGQ"
"ENSG00000007545",278,226,325,373,272,388,224,331,305,512,239,"ENSG00000007545","CRAMP1"
"ENSG00000007866",1188,1289,1862,1046,1242,1313,514,1045,809,1306,669,"ENSG00000007866","TEAD3"
"ENSG00000007908",38,8,27,8,11,34,6,44,6,0,5,"ENSG00000007908","SELE"
"ENSG00000007923",222,188,284,518,138,232,107,181,168,249,142,"ENSG00000007923","DNAJC11"
"ENSG00000007933",14190,1895,2833,4049,15935,12267,29327,21791,12884,8900,23407,"ENSG00000007933","FMO3"
"ENSG00000007944",3374,1883,4273,4388,1201,1916,1242,2505,1334,752,911,"ENSG00000007944","MYLIP"
"ENSG00000007952",407,175,99,146,180,249,159,363,317,172,99,"ENSG00000007952","NOX1"
"ENSG00000007968",68,248,295,165,79,69,5,47,41,3,17,"ENSG00000007968","E2F2"
"ENSG00000008018",13072,9338,5760,9347,9785,12417,8353,21527,15284,15356,8620,"ENSG00000008018","PSMB1"
"ENSG00000008056",10,5,126,105,2,24,7,5,8,18,3,"ENSG00000008056","SYN1"
"ENSG00000008083",1564,1792,6384,2974,524,1208,584,1071,640,913,366,"ENSG00000008083","JARID2"
"ENSG00000008086",588,586,654,792,441,233,288,646,377,287,421,"ENSG00000008086","CDKL5"
"ENSG00000008118",14,36,135,153,6,21,4,5,0,22,0,"ENSG00000008118","CAMK1G"
"ENSG00000008128",308,203,159,175,255,170,31,150,127,35,144,"ENSG00000008128","CDK11A"
"ENSG00000008130",2744,1313,4356,7141,1043,1868,768,1092,871,1366,1351,"ENSG00000008130","NADK"
"ENSG00000008196",20,46,21,14,95,42,4,60,6,9,15,"ENSG00000008196","TFAP2B"
"ENSG00000008226",2118,762,268,4195,5980,13259,6307,8895,6901,7276,3616,"ENSG00000008226","DLEC1"
"ENSG00000008256",532,429,303,663,415,573,436,1021,728,457,349,"ENSG00000008256","CYTH3"
"ENSG00000008277",247,81,37,101,338,115,221,452,225,194,367,"ENSG00000008277","ADAM22"
"ENSG00000008282",17078,9091,2716,9240,10195,3062,8162,20318,9626,4692,9490,"ENSG00000008282","SYPL1"
"ENSG00000008283",5530,2891,1638,5439,6867,7798,5333,10240,9112,9263,6591,"ENSG00000008283","CYB561"
"ENSG00000008294",7078,4766,13920,11226,2742,2544,3874,6477,3308,3565,5102,"ENSG00000008294","SPAG9"
"ENSG00000008300",193,83,39,99,74,132,104,253,143,93,52,"ENSG00000008300","CELSR3"
"ENSG00000008311",1679,456,222,461,1237,1749,627,1871,1234,436,428,"ENSG00000008311","AASS"
"ENSG00000008323",317,333,576,779,227,451,161,320,392,553,347,"ENSG00000008323","PLEKHG6"
"ENSG00000008324",1859,1174,650,1066,1490,969,1281,2315,1930,1971,1391,"ENSG00000008324","SS18L2"
"ENSG00000008382",255,239,164,272,259,250,155,330,325,687,348,"ENSG00000008382","MPND"
"ENSG00000008394",7479,4839,2479,4861,5495,4636,2762,6481,3889,4400,2528,"ENSG00000008394","MGST1"
"ENSG00000008405",2060,1319,1363,1299,1522,798,1546,4181,1177,1114,1777,"ENSG00000008405","CRY1"
"ENSG00000008438",17,418,41,252,45,52,0,0,1,1,0,"ENSG00000008438","PGLYRP1"
"ENSG00000008441",439,363,230,624,566,608,341,842,617,1206,753,"ENSG00000008441","NFIX"
"ENSG00000008513",1187,1472,4134,2964,723,1048,670,659,259,1289,248,"ENSG00000008513","ST3GAL1"
"ENSG00000008516",2848,3004,7089,36021,1032,1235,102,28,208,274,82,"ENSG00000008516","MMP25"
"ENSG00000008517",429,376,199,658,373,265,120,229,963,221,581,"ENSG00000008517","IL32"
"ENSG00000008710",337,86,138,587,332,542,238,514,298,371,540,"ENSG00000008710","PKD1"
"ENSG00000008735",63,15,0,39,33,57,12,102,50,72,89,"ENSG00000008735","MAPK8IP2"
"ENSG00000008838",1809,1252,862,4864,2410,3776,1362,2105,1687,3596,1474,"ENSG00000008838","MED24"
"ENSG00000008853",251,85,159,206,233,355,305,439,189,439,239,"ENSG00000008853","RHOBTB2"
"ENSG00000008869",2388,1202,676,1670,2217,2053,2115,4478,2232,1620,1204,"ENSG00000008869","HEATR5B"
"ENSG00000008952",18862,8469,4703,9203,9377,5851,11612,25242,9407,10285,11513,"ENSG00000008952","SEC62"
"ENSG00000008988",49236,34690,19475,30127,45484,50242,24373,60188,58188,84667,44421,"ENSG00000008988","RPS20"
"ENSG00000009307",23570,13888,13939,19782,18454,13797,15600,27935,19898,15870,17251,"ENSG00000009307","CSDE1"
"ENSG00000009335",1555,1178,1001,1797,1417,1505,1020,2309,1214,1782,1132,"ENSG00000009335","UBE3C"
"ENSG00000009413",1997,773,405,1332,1323,666,1469,3988,1598,830,2091,"ENSG00000009413","REV3L"
"ENSG00000009694",60,51,54,111,33,24,7,38,24,8,28,"ENSG00000009694","TENM1"
"ENSG00000009709",2141,747,383,1001,2178,2640,908,2933,1501,1181,1088,"ENSG00000009709","PAX7"
"ENSG00000009724",11,15,11,33,10,4,9,10,12,4,4,"ENSG00000009724","MASP2"
"ENSG00000009765",112,37,93,19,64,182,48,162,114,93,68,"ENSG00000009765","IYD"
"ENSG00000009780",1687,870,320,960,1352,796,1891,4153,2395,1305,1608,"ENSG00000009780","FAM76A"
"ENSG00000009790",845,322,2270,1522,84,180,84,79,137,46,53,"ENSG00000009790","TRAF3IP3"
"ENSG00000009830",1778,523,478,1457,1344,3176,2226,4255,2701,2066,1501,"ENSG00000009830","POMT2"
"ENSG00000009844",3848,2231,1189,2580,2649,1437,2067,4622,2899,2099,2687,"ENSG00000009844","VTA1"
"ENSG00000009950",29,37,6,95,45,17,16,50,22,58,68,"ENSG00000009950","MLXIPL"
"ENSG00000009954",1822,1224,842,1323,1663,1412,741,1758,1841,1367,1348,"ENSG00000009954","BAZ1B"
"ENSG00000010017",4103,2834,4478,3329,2415,2065,2381,4264,2427,1815,1699,"ENSG00000010017","RANBP9"
"ENSG00000010030",834,283,134,583,302,460,155,773,1447,159,1165,"ENSG00000010030","ETV7"
"ENSG00000010072",900,595,422,722,658,427,570,1324,703,572,632,"ENSG00000010072","SPRTN"
"ENSG00000010165",1874,1074,829,1293,1412,1482,1013,1776,1804,1346,978,"ENSG00000010165","METTL13"
"ENSG00000010219",896,366,193,539,946,854,1173,1563,1213,1364,755,"ENSG00000010219","DYRK4"
"ENSG00000010244",12583,8311,7379,9098,6527,4442,6047,12861,8238,5380,6302,"ENSG00000010244","ZNF207"
"ENSG00000010256",6583,4313,4012,5713,5512,7934,3934,6770,6175,12372,5388,"ENSG00000010256","UQCRC1"
"ENSG00000010270",2669,1477,1172,1914,1759,1024,1534,3490,1879,1158,1916,"ENSG00000010270","STARD3NL"
"ENSG00000010278",30074,21567,20184,19368,24757,11984,9642,24491,18805,12551,21647,"ENSG00000010278","CD9"
"ENSG00000010282",101,35,0,67,241,414,222,455,366,532,64,"ENSG00000010282","HHATL"
"ENSG00000010292",910,716,492,926,809,647,339,757,552,607,449,"ENSG00000010292","NCAPD2"
"ENSG00000010295",315,131,405,305,124,254,86,203,238,81,149,"ENSG00000010295","IFFO1"
"ENSG00000010310",702,313,164,1021,1330,1158,2246,3372,2419,2460,2539,"ENSG00000010310","GIPR"
"ENSG00000010318",591,228,129,348,614,1026,849,1807,930,909,491,"ENSG00000010318","PHF7"
"ENSG00000010322",2192,1232,1010,1765,2273,2349,1258,2777,2349,1898,1837,"ENSG00000010322","NISCH"
"ENSG00000010327",631,890,1359,1421,300,564,302,531,712,279,204,"ENSG00000010327","STAB1"
"ENSG00000010361",660,234,132,938,1270,891,1484,1449,1396,2748,2629,"ENSG00000010361","FUZ"
"ENSG00000010379",79,24,5,54,92,53,458,1602,451,102,638,"ENSG00000010379","SLC6A13"
"ENSG00000010404",258,226,675,757,167,346,223,370,234,197,146,"ENSG00000010404","IDS"
"ENSG00000010438",93,1062,796,163,67,38,4,33,48,33,12,"ENSG00000010438","PRSS3"
"ENSG00000010539",1963,535,1111,2412,595,1190,1111,1485,838,477,726,"ENSG00000010539","ZNF200"
"ENSG00000010610",235,159,214,495,140,740,232,293,217,1127,172,"ENSG00000010610","CD4"
"ENSG00000010626",4294,2112,1031,5768,9984,26876,8522,14262,14099,36536,10145,"ENSG00000010626","LRRC23"
"ENSG00000010671",244,374,715,894,69,119,50,58,117,50,34,"ENSG00000010671","BTK"
"ENSG00000010704",508,180,128,345,434,218,236,472,424,193,540,"ENSG00000010704","HFE"
"ENSG00000010803",948,292,249,733,1119,1748,776,1861,1191,1346,1306,"ENSG00000010803","SCMH1"
"ENSG00000010810",426,231,106,575,197,392,404,523,364,656,184,"ENSG00000010810","FYN"
"ENSG00000010818",1678,1239,2876,4558,936,880,568,1178,817,873,1399,"ENSG00000010818","HIVEP2"
"ENSG00000010932",45,15,0,25,144,15,29,74,114,24,171,"ENSG00000010932","FMO1"
"ENSG00000011007",2431,1699,1081,1716,1859,1456,1458,2961,2139,2296,1547,"ENSG00000011007","TCEB3"
"ENSG00000011009",2901,2555,2074,3469,3391,4921,2031,3306,3476,8516,2834,"ENSG00000011009","LYPLA2"
"ENSG00000011021",809,505,630,818,584,883,532,1356,862,543,544,"ENSG00000011021","CLCN6"
"ENSG00000011028",332,210,100,326,274,224,114,342,237,262,260,"ENSG00000011028","MRC2"
