"","ICU_06","ICU_25","ICU_26","ICU_27","NON_07","NON_19","NON_20","NON_22","NON_23","NON_26","NON_28","ENSGID","SYMBOL"
"ENSG00000106683",597,453,1136,1150,385,685,288,457,359,706,362,"ENSG00000106683","LIMK1"
"ENSG00000106686",1814,606,174,1224,2155,1052,2889,5256,3770,1854,2819,"ENSG00000106686","SPATA6L"
"ENSG00000106688",656,511,975,543,543,257,623,1143,393,280,444,"ENSG00000106688","SLC1A1"
"ENSG00000106689",48,38,14,0,23,10,25,21,20,69,4,"ENSG00000106689","LHX2"
"ENSG00000106692",789,327,177,481,627,318,610,1166,757,429,663,"ENSG00000106692","FKTN"
"ENSG00000106701",2206,818,133,1796,2159,724,2781,5659,3081,1648,3431,"ENSG00000106701","FSD1L"
"ENSG00000106714",729,279,377,965,481,980,801,1505,671,305,415,"ENSG00000106714","CNTNAP3"
"ENSG00000106723",3833,1826,1268,2122,2709,1054,1801,4039,2400,1082,2764,"ENSG00000106723","SPIN1"
"ENSG00000106733",3366,1870,863,1920,3450,1918,1713,4471,3235,3009,3645,"ENSG00000106733","NMRK1"
"ENSG00000106771",3699,1746,489,2452,3035,1299,3644,7481,4603,2123,3617,"ENSG00000106771","TMEM245"
"ENSG00000106772",944,587,201,1102,1340,866,1818,3388,1871,1437,1299,"ENSG00000106772","PRUNE2"
"ENSG00000106780",2761,1378,2607,3066,1009,1149,1096,1556,869,492,667,"ENSG00000106780","MEGF9"
"ENSG00000106785",2117,956,649,1022,1434,1127,936,2685,2668,1059,2443,"ENSG00000106785","TRIM14"
"ENSG00000106789",3786,2643,1276,2110,2523,2010,1812,3375,2596,2886,1361,"ENSG00000106789","CORO2A"
"ENSG00000106799",5566,3165,4027,4419,1828,1081,1296,3106,1800,979,2203,"ENSG00000106799","TGFBR1"
"ENSG00000106803",6904,5460,2513,5160,4481,5459,3560,6585,6020,9876,3118,"ENSG00000106803","SEC61B"
"ENSG00000106804",370,82,28,142,287,149,251,532,497,246,613,"ENSG00000106804","C5"
"ENSG00000106823",326,40,32,82,214,87,94,205,161,51,382,"ENSG00000106823","ECM2"
"ENSG00000106829",3059,1749,2382,2810,1549,1405,1865,3617,2201,1504,1964,"ENSG00000106829","TLE4"
"ENSG00000106852",0,9,11,2,6,12,0,18,55,4,33,"ENSG00000106852","LHX6"
"ENSG00000106853",2645,2203,1038,1824,2463,2221,1261,2091,2250,3630,1231,"ENSG00000106853","PTGR1"
"ENSG00000106868",609,653,617,592,396,467,277,578,706,391,272,"ENSG00000106868","SUSD1"
"ENSG00000106948",2069,718,2291,4104,1818,5397,2754,4130,2981,3391,4009,"ENSG00000106948","AKNA"
"ENSG00000106952",190,135,3249,1438,44,111,38,55,35,42,14,"ENSG00000106952","TNFSF8"
"ENSG00000106976",108,15,1,67,55,214,27,122,63,109,36,"ENSG00000106976","DNM1"
"ENSG00000106991",347,200,762,915,177,379,154,216,193,170,230,"ENSG00000106991","ENG"
"ENSG00000106992",348,223,39,311,479,651,270,396,307,1050,152,"ENSG00000106992","AK1"
"ENSG00000106993",2181,1156,479,1171,1493,849,1659,3417,1973,1422,1422,"ENSG00000106993","CDC37L1"
"ENSG00000107014",99,24,0,37,95,26,193,184,209,103,82,"ENSG00000107014","RLN2"
"ENSG00000107018",22,13,3,8,23,18,11,61,25,35,36,"ENSG00000107018","RLN1"
"ENSG00000107020",1223,546,438,825,803,1182,798,1674,1187,1061,744,"ENSG00000107020","PLGRKT"
"ENSG00000107021",925,553,802,508,624,991,522,913,866,1120,574,"ENSG00000107021","TBC1D13"
"ENSG00000107036",1242,633,765,1091,654,437,730,1424,763,385,740,"ENSG00000107036","RIC1"
"ENSG00000107077",1694,847,637,1161,1122,817,1139,2122,1177,912,901,"ENSG00000107077","KDM4C"
"ENSG00000107099",2759,1523,3217,8177,431,1178,847,1193,1297,437,414,"ENSG00000107099","DOCK8"
"ENSG00000107104",1261,1024,642,1047,1068,498,761,1452,821,446,478,"ENSG00000107104","KANK1"
"ENSG00000107105",48,20,12,20,5,5,18,34,13,6,10,"ENSG00000107105","ELAVL2"
"ENSG00000107130",742,581,242,947,1042,1069,488,1229,1235,2304,1369,"ENSG00000107130","NCS1"
"ENSG00000107140",597,540,684,770,554,1056,390,691,654,1681,604,"ENSG00000107140","TESK1"
"ENSG00000107147",6,33,7,20,15,4,2,10,5,15,4,"ENSG00000107147","KCNT1"
"ENSG00000107159",27,15,6,4,7,27,8,66,16,12,4,"ENSG00000107159","CA9"
"ENSG00000107164",3440,1900,822,2080,1638,843,1860,4772,1938,1315,1797,"ENSG00000107164","FUBP3"
"ENSG00000107165",5,7,21,70,28,2,9,12,0,5,35,"ENSG00000107165","TYRP1"
"ENSG00000107175",1359,1038,785,1460,1342,1885,846,1706,1591,3314,1451,"ENSG00000107175","CREB3"
"ENSG00000107185",351,500,420,644,334,374,168,256,373,534,210,"ENSG00000107185","RGP1"
"ENSG00000107186",1038,356,36,806,1168,307,1643,3250,1505,899,1488,"ENSG00000107186","MPDZ"
"ENSG00000107201",16,21,35,61,30,43,10,73,47,14,44,"ENSG00000107201","DDX58"
"ENSG00000107223",5962,5279,4192,5816,6851,11870,4264,7418,9868,22498,6985,"ENSG00000107223","EDF1"
"ENSG00000107242",755,412,408,564,388,387,759,1815,694,519,647,"ENSG00000107242","PIP5K1B"
"ENSG00000107249",2088,787,179,1762,2940,989,3243,4781,2451,2113,2779,"ENSG00000107249","GLIS3"
"ENSG00000107262",9444,7242,6342,7045,6200,8342,4005,8589,8844,14855,7326,"ENSG00000107262","BAG1"
"ENSG00000107263",1201,723,3850,3584,858,2618,956,1248,966,1220,1390,"ENSG00000107263","RAPGEF1"
"ENSG00000107281",526,580,258,1033,868,994,293,809,507,1645,627,"ENSG00000107281","NPDC1"
"ENSG00000107282",21,29,15,34,53,43,32,81,48,26,20,"ENSG00000107282","APBA1"
"ENSG00000107290",6202,3167,4501,5891,3717,2869,3118,7183,4739,2375,5437,"ENSG00000107290","SETX"
"ENSG00000107331",895,365,437,1587,564,763,584,1148,816,996,1242,"ENSG00000107331","ABCA2"
"ENSG00000107338",540,428,390,538,469,730,387,484,478,1272,337,"ENSG00000107338","SHB"
"ENSG00000107341",4617,3980,8968,5735,2352,3717,2033,3219,2838,3448,1830,"ENSG00000107341","UBE2R2"
"ENSG00000107362",1300,930,617,1302,1394,926,1100,2144,1424,1258,1220,"ENSG00000107362","ABHD17B"
"ENSG00000107371",1576,1031,381,760,1102,566,953,1682,1433,1320,894,"ENSG00000107371","EXOSC3"
"ENSG00000107372",18568,10275,17920,16131,11115,6811,10989,22159,11815,6270,14113,"ENSG00000107372","ZFAND5"
"ENSG00000107404",1465,1118,1152,2295,1517,1808,1010,2160,1438,2388,1632,"ENSG00000107404","DVL1"
"ENSG00000107438",6659,4794,3290,6862,8983,17274,6239,9565,12692,29591,9023,"ENSG00000107438","PDLIM1"
"ENSG00000107443",423,309,164,278,240,163,204,419,337,294,223,"ENSG00000107443","CCNJ"
"ENSG00000107485",419,452,80,168,315,109,191,352,357,170,85,"ENSG00000107485","GATA3"
"ENSG00000107521",1681,1472,3276,2957,1472,2394,1022,1408,1767,2258,1229,"ENSG00000107521","HPS1"
"ENSG00000107537",2319,704,326,831,1304,1192,2343,2799,2283,2183,1211,"ENSG00000107537","PHYH"
"ENSG00000107551",912,445,309,1380,871,750,1257,2164,741,640,626,"ENSG00000107551","RASSF4"
"ENSG00000107554",1809,1792,1208,1765,1443,1560,1093,2940,2238,1791,1202,"ENSG00000107554","DNMBP"
"ENSG00000107560",883,387,306,666,516,301,597,1193,723,284,639,"ENSG00000107560","RAB11FIP2"
"ENSG00000107562",99,14,12,10,6,6,18,16,33,71,70,"ENSG00000107562","CXCL12"
"ENSG00000107566",4117,2382,1622,3383,2702,1432,1994,4513,2935,1618,2804,"ENSG00000107566","ERLIN1"
"ENSG00000107581",8165,5409,4876,7265,4479,2727,3634,8843,5185,2843,5142,"ENSG00000107581","EIF3A"
"ENSG00000107593",22,17,10,22,11,9,14,30,17,6,7,"ENSG00000107593","PKD2L1"
"ENSG00000107611",48,50,13,84,62,35,49,133,73,108,89,"ENSG00000107611","CUBN"
"ENSG00000107614",682,299,150,516,490,441,766,1434,673,420,394,"ENSG00000107614","TRDMT1"
"ENSG00000107625",3169,1272,805,1822,2236,1377,1990,4382,2493,1959,2919,"ENSG00000107625","DDX50"
"ENSG00000107643",2811,1585,1394,2033,2210,1291,1775,3560,2195,1465,2115,"ENSG00000107643","MAPK8"
"ENSG00000107651",3602,1863,1021,1977,2217,1169,1968,4286,2293,1780,2180,"ENSG00000107651","SEC23IP"
"ENSG00000107669",2109,1368,527,1253,1237,591,1196,2842,1448,909,1030,"ENSG00000107669","ATE1"
"ENSG00000107672",4553,1649,710,2215,3580,1839,4903,10002,5778,2700,4540,"ENSG00000107672","NSMCE4A"
"ENSG00000107679",2785,1667,591,1669,1573,600,1264,3698,1735,875,1757,"ENSG00000107679","PLEKHA1"
"ENSG00000107719",110,73,51,116,116,141,51,156,136,32,54,"ENSG00000107719","PALD1"
"ENSG00000107731",718,663,464,861,575,556,285,1018,499,466,417,"ENSG00000107731","UNC5B"
"ENSG00000107736",83,131,320,654,49,336,109,322,96,268,61,"ENSG00000107736","CDH23"
"ENSG00000107738",3786,5299,15344,17137,1420,4138,1176,1422,1663,4401,1114,"ENSG00000107738","C10orf54"
"ENSG00000107742",276,115,287,221,109,456,143,330,412,497,347,"ENSG00000107742","SPOCK2"
"ENSG00000107745",964,1114,2225,2108,872,1824,734,1172,1336,1912,852,"ENSG00000107745","MICU1"
"ENSG00000107758",4397,1974,899,2369,3408,1655,3417,6455,3903,2498,3203,"ENSG00000107758","PPP3CB"
"ENSG00000107771",1730,991,961,1303,1196,1119,1096,2211,1319,1097,966,"ENSG00000107771","CCSER2"
"ENSG00000107779",2396,1147,381,1571,1784,615,1318,3579,1956,827,2126,"ENSG00000107779","BMPR1A"
"ENSG00000107789",2039,1244,246,1125,1232,351,1065,2337,1220,674,826,"ENSG00000107789","MINPP1"
"ENSG00000107796",63,18,1,41,37,22,8,25,39,60,76,"ENSG00000107796","ACTA2"
"ENSG00000107798",5444,2117,1620,3006,4240,2630,2687,5433,4992,2906,5336,"ENSG00000107798","LIPA"
"ENSG00000107815",319,246,101,210,281,200,110,275,288,356,247,"ENSG00000107815","C10orf2"
"ENSG00000107816",518,549,968,1067,797,1000,367,478,779,751,504,"ENSG00000107816","LZTS2"
"ENSG00000107819",1503,765,520,1655,1942,3189,2666,3448,3102,4691,1834,"ENSG00000107819","SFXN3"
"ENSG00000107821",180,88,147,191,89,321,239,393,270,392,157,"ENSG00000107821","KAZALD1"
"ENSG00000107829",1394,850,851,1012,949,2002,913,1500,2408,2344,1212,"ENSG00000107829","FBXW4"
"ENSG00000107831",12,18,13,12,28,11,12,10,10,2,2,"ENSG00000107831","FGF8"
"ENSG00000107833",592,363,171,436,465,579,223,469,485,886,395,"ENSG00000107833","NPM3"
"ENSG00000107854",7905,4117,2852,4940,4282,2091,4048,10283,4790,2321,4916,"ENSG00000107854","TNKS2"
"ENSG00000107862",1116,911,1372,2380,1134,2312,922,1620,1083,3044,1179,"ENSG00000107862","GBF1"
"ENSG00000107863",3825,3058,1419,2839,2506,1494,1818,5350,3657,2268,2799,"ENSG00000107863","ARHGAP21"
"ENSG00000107864",1079,622,309,645,597,307,644,1716,832,421,701,"ENSG00000107864","CPEB3"
"ENSG00000107872",731,435,323,878,820,1187,573,1033,997,1658,851,"ENSG00000107872","FBXL15"
"ENSG00000107874",842,404,441,870,868,1392,612,873,934,1873,941,"ENSG00000107874","CUEDC2"
"ENSG00000107882",359,273,324,305,490,444,193,463,333,255,267,"ENSG00000107882","SUFU"
"ENSG00000107890",1358,495,175,780,1418,652,1701,3543,1797,1129,1788,"ENSG00000107890","ANKRD26"
"ENSG00000107897",1895,1148,715,1597,1071,679,1171,2685,1584,797,1300,"ENSG00000107897","ACBD5"
"ENSG00000107902",835,363,366,802,728,1464,670,1068,1221,1851,1016,"ENSG00000107902","LHPP"
"ENSG00000107929",3487,1975,1500,2964,2200,3296,1834,4504,3764,2881,2396,"ENSG00000107929","LARP4B"
"ENSG00000107937",2391,1843,1325,2122,1426,1404,1139,2721,1745,1542,1095,"ENSG00000107937","GTPBP4"
"ENSG00000107938",1911,894,486,1045,1196,711,1341,2451,1457,739,838,"ENSG00000107938","EDRF1"
"ENSG00000107949",3857,2245,1395,2831,3253,2380,2575,5234,4066,3888,3675,"ENSG00000107949","BCCIP"
"ENSG00000107951",985,588,277,685,572,393,553,1151,688,519,404,"ENSG00000107951","MTPAP"
"ENSG00000107954",30,24,13,65,160,52,84,170,65,89,112,"ENSG00000107954","NEURL1"
"ENSG00000107957",2924,3078,1576,2122,2475,1556,922,2701,2584,2020,1724,"ENSG00000107957","SH3PXD2A"
"ENSG00000107959",2040,1899,1588,2624,1582,2491,1500,4676,2036,2726,1577,"ENSG00000107959","PITRM1"
"ENSG00000107960",1913,1727,2088,1928,1446,2462,1326,2436,2029,3894,1375,"ENSG00000107960","OBFC1"
"ENSG00000107968",4589,3544,6974,7719,1730,1954,2164,3907,2368,1336,2028,"ENSG00000107968","MAP3K8"
"ENSG00000107984",1401,5980,2178,1070,522,172,202,884,108,206,48,"ENSG00000107984","DKK1"
"ENSG00000108001",19,12,6,17,27,10,23,42,18,12,18,"ENSG00000108001","EBF3"
"ENSG00000108010",3862,4107,1885,2799,2600,1663,1710,3426,2794,3686,1604,"ENSG00000108010","GLRX3"
"ENSG00000108021",3226,1685,563,1930,1814,717,1478,4058,2230,1088,2189,"ENSG00000108021","FAM208B"
"ENSG00000108039",2864,1669,1275,2085,2695,3447,1692,3904,4827,2947,2958,"ENSG00000108039","XPNPEP1"
"ENSG00000108055",2939,1537,1529,1990,1983,962,1303,2914,1998,844,2212,"ENSG00000108055","SMC3"
"ENSG00000108061",5594,3171,3504,5584,2693,2420,3566,7149,3809,2409,3164,"ENSG00000108061","SHOC2"
"ENSG00000108064",2653,1254,619,1311,1386,626,1196,2881,1591,834,1652,"ENSG00000108064","TFAM"
"ENSG00000108091",7065,3536,2089,3376,4498,2467,4439,8709,5710,3575,4017,"ENSG00000108091","CCDC6"
"ENSG00000108094",2277,1278,897,1513,1307,794,1006,2309,1601,983,1462,"ENSG00000108094","CUL2"
"ENSG00000108100",4271,2384,2132,4496,3058,2818,3131,6125,3531,3920,3684,"ENSG00000108100","CCNY"
"ENSG00000108106",693,1379,1205,1204,653,829,235,595,504,1711,449,"ENSG00000108106","UBE2S"
"ENSG00000108107",17398,18059,12252,13972,22179,27656,8050,17061,22251,68753,23380,"ENSG00000108107","RPL28"
"ENSG00000108175",3595,2144,4690,5919,1637,1335,1988,2875,1853,1259,1964,"ENSG00000108175","ZMIZ1"
"ENSG00000108176",170,332,38,169,174,99,78,67,42,371,18,"ENSG00000108176","DNAJC12"
"ENSG00000108179",11232,9801,35241,39527,3011,6488,1966,3139,2479,5896,2722,"ENSG00000108179","PPIF"
"ENSG00000108187",455,221,200,443,390,424,578,1172,685,602,663,"ENSG00000108187","PBLD"
"ENSG00000108219",4156,4356,5584,6400,3211,3267,2104,3645,2864,3420,2038,"ENSG00000108219","TSPAN14"
"ENSG00000108231",6736,334,859,571,2761,3446,1159,1693,335,58,97,"ENSG00000108231","LGI1"
"ENSG00000108239",925,607,363,599,577,249,358,1026,563,298,567,"ENSG00000108239","TBC1D12"
"ENSG00000108242",629,203,169,116,259,196,76,503,183,178,337,"ENSG00000108242","CYP2C18"
"ENSG00000108244",10149,16696,8768,6340,6787,3903,1845,5555,7450,6444,4279,"ENSG00000108244","KRT23"
"ENSG00000108256",12407,8878,5080,8260,7107,3342,4771,10212,8647,4432,6204,"ENSG00000108256","NUFIP2"
"ENSG00000108262",1074,862,744,1485,1259,1848,838,1578,1314,2917,1261,"ENSG00000108262","GIT1"
"ENSG00000108298",29426,23004,16046,22366,30103,43372,15797,29877,36252,82931,29892,"ENSG00000108298","RPL19"
"ENSG00000108306",918,597,676,961,810,825,428,972,792,519,605,"ENSG00000108306","FBXL20"
"ENSG00000108309",36,9,51,40,7,42,14,36,32,28,40,"ENSG00000108309","RUNDC3A"
"ENSG00000108312",2901,1341,1325,2271,2920,3432,2125,3622,3431,3221,2634,"ENSG00000108312","UBTF"
"ENSG00000108342",1329,773,2446,4703,1672,1701,288,258,50,289,119,"ENSG00000108342","CSF3"
"ENSG00000108344",1904,1634,1746,2793,1520,2705,1377,2464,1883,4147,1562,"ENSG00000108344","PSMD3"
"ENSG00000108349",5741,2469,3299,5362,4163,5013,3937,6287,5479,4743,5060,"ENSG00000108349","CASC3"
"ENSG00000108352",1465,1069,715,1901,2036,1950,744,1537,660,1809,893,"ENSG00000108352","RAPGEFL1"
"ENSG00000108370",74,30,24,40,36,32,25,56,64,33,58,"ENSG00000108370","RGS9"
"ENSG00000108375",772,339,215,308,1008,734,430,1228,1256,789,1195,"ENSG00000108375","RNF43"
"ENSG00000108379",106,30,20,49,57,35,63,74,32,47,33,"ENSG00000108379","WNT3"
"ENSG00000108384",1109,528,299,784,1071,635,953,1450,1080,1073,956,"ENSG00000108384","RAD51C"
"ENSG00000108387",79,99,25,55,21,4,2,16,6,8,8,"ENSG00000108387","SEPT4"
"ENSG00000108389",3074,1265,928,1851,1978,2069,2007,3595,2439,1298,1156,"ENSG00000108389","MTMR4"
"ENSG00000108395",1950,923,490,1430,1401,884,1630,3093,1819,1178,1486,"ENSG00000108395","TRIM37"
"ENSG00000108405",37,444,2291,897,53,108,8,2,45,27,4,"ENSG00000108405","P2RX1"
"ENSG00000108406",3529,1492,1326,2677,3795,4550,2639,5508,4628,3704,4032,"ENSG00000108406","DHX40"
"ENSG00000108423",915,798,242,399,750,237,459,964,754,467,405,"ENSG00000108423","TUBD1"
"ENSG00000108424",8620,6801,5334,8838,5561,4338,3372,7035,6749,5377,5215,"ENSG00000108424","KPNB1"
"ENSG00000108433",1474,1052,584,1160,1234,1298,830,1457,1357,1990,829,"ENSG00000108433","GOSR2"
"ENSG00000108439",381,259,213,270,380,510,249,441,430,817,333,"ENSG00000108439","PNPO"
"ENSG00000108443",4036,2133,1150,2771,2054,1222,2239,4771,2749,1616,2055,"ENSG00000108443","RPS6KB1"
"ENSG00000108448",769,584,297,757,757,763,362,1075,1075,670,675,"ENSG00000108448","TRIM16L"
"ENSG00000108465",244,63,232,466,194,290,125,193,165,86,147,"ENSG00000108465","CDK5RAP3"
"ENSG00000108468",2332,1191,726,1337,2047,1512,724,2052,1608,1527,1727,"ENSG00000108468","CBX1"
"ENSG00000108469",755,782,705,1372,870,1166,760,1564,1159,1454,802,"ENSG00000108469","RECQL5"
"ENSG00000108474",878,246,247,492,665,1721,759,2240,1226,538,656,"ENSG00000108474","PIGL"
"ENSG00000108479",528,271,503,582,322,404,217,324,151,442,201,"ENSG00000108479","GALK1"
"ENSG00000108506",790,471,285,495,556,215,399,1013,487,248,517,"ENSG00000108506","INTS2"
"ENSG00000108509",410,348,835,1103,279,491,176,359,146,466,216,"ENSG00000108509","CAMTA2"
"ENSG00000108510",6378,4033,2952,4807,3373,1846,3097,6752,4079,1971,3159,"ENSG00000108510","MED13"
"ENSG00000108515",122,152,110,268,111,116,42,166,64,44,48,"ENSG00000108515","ENO3"
"ENSG00000108518",13458,17174,18994,23142,7593,14283,4387,6150,8380,23840,6240,"ENSG00000108518","PFN1"
"ENSG00000108523",3939,2314,2716,5514,3532,3954,2204,4128,3658,2865,2929,"ENSG00000108523","RNF167"
"ENSG00000108528",1899,1318,1213,1928,1736,2090,1581,2341,1933,3405,1471,"ENSG00000108528","SLC25A11"
"ENSG00000108551",31,768,344,215,135,6,37,69,35,394,81,"ENSG00000108551","RASD1"
"ENSG00000108556",62,20,111,168,49,105,30,39,15,47,59,"ENSG00000108556","CHRNE"
"ENSG00000108557",762,392,613,992,658,693,434,700,517,526,476,"ENSG00000108557","RAI1"
"ENSG00000108559",2115,1452,1033,1321,1411,968,1180,2306,1640,1314,1060,"ENSG00000108559","NUP88"
"ENSG00000108561",4606,2938,1678,2938,3527,2494,2154,5436,3923,4370,3787,"ENSG00000108561","C1QBP"
"ENSG00000108576",37,15,0,14,45,8,8,52,23,14,45,"ENSG00000108576","SLC6A4"
