"","Mast.Cells","Inflammatory.Macrophages","HOPX.high.Squamous.Cells","Basal.Cells","AZGP1.SCGB3A1.LTF.high.Goblet.Cells","Interferon.Responsive.Secretory.Cells","ITGAX.high.Macrophages","Interferon.Responsive.Cytotoxic.CD8.T.Cells","VEGFA.high.Squamous.Cells","Interferon.Responsive.Ciliated.Cells"
"ENSG00000148459",0.572727272727273,0.456027069328881,-0.697277051246695,0.219296395526486,0.099136319419322,-0.66514978946418,0.209358947339656,0.00917469804271967,0.190692517849118,-0.309090909090909
"ENSG00000180938",-0.109090909090909,-0.426286173503084,0.146795168683515,-0.324177280343501,0.302365774228932,0.300684151401615,-0.469894526251228,-0.522957788435021,-0.266969524988766,0.290909090909091
"ENSG00000182463",-0.181818181818182,-0.356890749909559,0.183493960854393,-0.324177280343501,0.282538510345068,0.355353997111,-0.469894526251228,-0.467909600178703,-0.266969524988766,0.327272727272727
"ENSG00000204323",-0.472727272727273,-0.500638413067576,0.26606624323887,-0.371850409805781,0.232970350635407,0.259681767119577,-0.390803368367358,-0.0917469804271967,-0.30510802855859,0.2
"ENSG00000214174",-0.245454545454545,-0.470897517241779,0.00917469804271967,-0.390919661590693,0.60968836442883,0.0364465638062564,-0.195401684183679,-0.642228862990377,-0.286038776773678,0.0181818181818182
"ENSG00000255026",0.551254277569628,0.519168541352897,-0.220694903627298,0.238909241283748,-0.481907641255799,-0.257990867579909,0.307760040715893,0.662084710881894,0.291469274366173,-0.341686535683654
"ENSG00000260910",-0.191344459982846,-0.337832160880354,0.294259871503064,-0.195905577852674,0.0943942802459813,0.315068493150685,-0.540911586712782,-0.0965540203369429,-0.215018317155373,0.296128330925833
