genesymbols	Developing Ciliated Cells	SPRR2D high Squamous Cells	KRT24 KRT13 high Secretory Cells	ITGAX high Macrophages	B Cells	FOXJ1 high Ciliated Cells	CD8 T Cells	SERPINB11 high Secretory Cells	Inflammatory Macrophages	MSR1 C1QB high Macrophages	Dendritic Cells	MUC5AC high Goblet Cells	CCL5 high Squamous Cells	SCGB1A1 high Goblet Cells	BPIFA1 high Secretory Cells	Deuterosomal Cells	Basal Cells	Early Response FOXJ1 high Ciliated Cells	Early Response T Cells	Ionocytes	Interferon Responsive Macrophages	BPIFA1 and Chemokine high Secretory Cells	Cilia high Ciliated Cells	Mitotic Basal Cells	Interferon Responsive Ciliated Cells	AZGP1 high Goblet Cells	BEST4 high Cilia high Ciliated Cells	Developing Secretory and Goblet Cells	FFAR4 high Macrophages	AZGP1 SCGB3A1 LTF high Goblet Cells	HOPX high Squamous Cells	Plasmacytoid DCs	Enteroendocrine Cells	Early Response Secretory Cells	VEGFA high Squamous Cells	Interferon Responsive Cytotoxic CD8 T Cells	Interferon Responsive Secretory Cells	Mast Cells
AAMP	1	843.406315225615	529.789319950937	1	1	612.769767390905	1	1135.55639745297	757.501765423935	1129.41522922571	526.489961507506	522.602011456119	1	839.618430157784	1	692.203616402128	837.411342599099	683.459519675148	975.72234862381	522.869936853797	1	1	1	629.8998014792	652.865160270644	1287.50272091421	397.296931368695	833.349888442048	381.547040742196	1490.93929404852	1977.28458498024	772.481406718037	1	937.378079886766	1073.0842394873	617.611539794394	2933.55131964809	1
AANAT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AAR2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	261.711103775338	1	1	1	1613.90322580645	1	1	313.400197427041	1	1	1	1	1	826.082508250825	1	5101.28696120045	208.006471558792	106.084463233442	1041.88106996138	1	1
AARD	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AARS	1	1	569.12263888379	1	1	1454.0627100875	1	1	1	1	1	1	1	886.636305513443	1	422.05265152526	1451.28075546056	630.795037490252	531.58725496088	1820.68796053092	1	1	1425.94998047837	1	749.491812132642	634.372108440826	1107.95414981227	1055.91486146289	923.258746120015	853.43645480112	1	1	1	428.543163318774	1	2255.09700476934	1	1
AARS2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	415.697832086363	1	1	1	1	1	1	1	1	1	161.94897660919	1	243.074666380167	1	1
AARSD1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	516.560197435111	1	1	1	1	1	1	1	1	1	1	1
AASDH	1	1	1	1	1	1	1	1	1	1	1	865.473600453959	1	1	1	1	906.498416164374	131.250848938008	492.287527327693	1	1	1	1	1	183.081534468916	1	1	1294.95718780353	157.818432457163	1	1	1	1	318.408869969461	1	1	1	1
AASDHPPT	1	1	377.790248235053	1	940.23399566949	584.787318820339	1	1054.33254713039	1	1	482.732469444989	1	1	431.760771083376	808.057369209601	2814.43799449149	579.573986785537	455.505185978674	579.684452960758	275.222948881359	1	1	1	1	538.050723067558	233.361214930971	1	1	687.444493880091	1011.77628269051	1186.77075098814	1	1	362.881056765697	1	522.352526322306	1	1
AASS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1304.36699579714	1	1	1	1	1	1	1	1	1	1
AATBC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AATF	1	418.026021601807	1	1	2752.00945223898	414.34801927686	2060.520270254	454.45336281247	1	1	1	1	1	1	1	1	1	534.987851794998	1045.3883277465	767.247131499609	646.460351158267	921.810313075506	1	1	564.291434401715	335.199209054272	1	1	898.677269777645	234.149838299909	791.513833992095	1169.22429906542	1	493.698222782792	332.83176789803	1456.26610614653	1467.27565982405	1
AATK	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AB015752.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABALON	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1651.16501650165	1	1	1	1	1	1	1
ABAT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	452.356304825702	1	1	1	1	1	1	326.249333723791	1	1	1	365.275822715255	525.43175246841	1	1	2093.42541997967	287.35381522464	463.704127084443	1	1	1
ABCA1	1	3200.39036823745	1	10737.3950393029	1	1	1	1	5535.2260616933	11410.2581311628	2397.41303217192	1	1	1	1	1	1	1	1	1	4454.33493506107	3226.8064516129	1	1	1	409.15873612374	1	1	1	917.120074415261	5556.55555555556	448.227191413238	1	354.22570841888	4001.13377704025	1	1	1
ABCA10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2436.95795161813	1	1	1	1	1
